file_number,message_id,title,author,author_link,author_id
176028,message #560629,AMP Proposal,Miles Parker,index.php?t=usrinfo&id=31108&,31108
176029,message #560634,test,Eclipse User,/donate,0
176030,message #560636,[ANN] jLibrary 1.0 beta2 announced,MartÃ­n PÃ©rez MariÃ±Ã¡n,index.php?t=usrinfo&id=16203&,16203
176031,message #560637,[Announce] MDT UML2TOOLS 1.0.0M4a is available,Michael Golubev,index.php?t=usrinfo&id=4517&,4517
176032,message #560638,Documentation,Milen Manov,index.php?t=usrinfo&id=48235&,48235
176033,message #560641,Re: [GEMS] linux/gtk vs. macosx,Jean Bezivin,index.php?t=usrinfo&id=33229&,33229
176034,message #560642,test2 äöüß,Eclipse User,/donate,0
176035,message #560644,BZ Media acquires EclipseSource from Penton Media,Alan Zeichick,index.php?t=usrinfo&id=32083&,32083
176036,message #560649,[Epsilon] Epsilon binaries and source code available,Dimitrios Kolovos,index.php?t=usrinfo&id=21167&,21167
176037,message #560651,test,Eclipse User,/donate,0
176038,message #560653,ANN: IntraWeb 5.0.16 for Eclipse 3 and JBuilder Released,Eclipse User,/donate,0
176039,message #560655,interface in UML,wangjinhui,index.php?t=usrinfo&id=31754&,31754
176040,message #560657,[AM3] Gap between AM3 and EMF?,Stefan Winkler,index.php?t=usrinfo&id=45335&,45335
176041,message #560658,Test,Sean WIlbur,index.php?t=usrinfo&id=47078&,47078
176042,message #560662,"[ANN] MyEclipse 4.0 Milestone-1 Available - New UML, JSF, Tapestry & Advanced Oracle DB Features",Eclipse User,/donate,0
176046,message #560667,Test my client,Eclipse User,/donate,0
176047,message #560671,GMF files,Yves YANG,index.php?t=usrinfo&id=26657&,26657
176048,message #560672,EclipseWorld technical program announced,Alan Zeichick,index.php?t=usrinfo&id=32083&,32083
176049,message #560674,cong!,Jin Missing name,index.php?t=usrinfo&id=21132&,21132
176050,message #560676,Pave demo,Milen Manov,index.php?t=usrinfo&id=48235&,48235
176052,message #560677,TestöäüÜÖÄ,Eclipse User,/donate,0
176053,message #560680,Scripting in E4,Paul Webster,index.php?t=usrinfo&id=17212&,17212
176055,message #560684,BSD license for LWJGL is good for Eclipse?,Jin Missing name,index.php?t=usrinfo&id=21132&,21132
176056,message #560685,ANN: XMLBuddy Pro 2.0.57,Eclipse User,/donate,0
176057,message #560688,diagram test,Eclipse User,/donate,0
176059,message #560692,Project diversity,Scott Lewis,index.php?t=usrinfo&id=10749&,10749
176060,message #560694,A glance at Pave,Milen Manov,index.php?t=usrinfo&id=48235&,48235
176061,message #560700,registering interest,Eclipse User,/donate,0
176062,message #560699,test format,na,index.php?t=usrinfo&id=57833&,57833
176063,message #560701,Pave Creation Review,Anne Jacko,index.php?t=usrinfo&id=26380&,26380
176064,message #560703,ANN: XMLBuddy Pro 2.0.63,Eclipse User,/donate,0
176065,message #560710,Localization,Werner Keil,index.php?t=usrinfo&id=36613&,36613
176066,message #560711,test 2,Eclipse User,/donate,0
176067,message #560712,Provisioning Pave,David Williams,index.php?t=usrinfo&id=21206&,21206
176068,message #560713,ANN: Eclipse XRay Profiler,Chris Laffra,index.php?t=usrinfo&id=79&,79
176069,message #560716,Feedback on MTJ proposal,Arto Laurila,index.php?t=usrinfo&id=24303&,24303
176070,message #560718,Getting started,Paul Webster,index.php?t=usrinfo&id=17212&,17212
176072,message #560722,License issues,Michael Giroux,index.php?t=usrinfo&id=9344&,9344
176073,message #560725,IP Process: IPZilla Improvements,Darin Swanson,index.php?t=usrinfo&id=30&,30
176074,message #560726,Status of the project?,Pierre-Charles David,index.php?t=usrinfo&id=49151&,49151
176075,message #560730,How it works,Grahame Grieve,index.php?t=usrinfo&id=24096&,24096
176076,message #560732,Eclipse Members Meeting,Darin Swanson,index.php?t=usrinfo&id=30&,30
176077,message #560733,Using Java3D,Eclipse User,/donate,0
176078,message #560735,Embedded Track at EclipseCon 2006!,Doug Gaff,index.php?t=usrinfo&id=13750&,13750
176079,message #560736,Events,Werner Keil,index.php?t=usrinfo&id=36613&,36613
176080,message #560737,The Eclipse Monkey proposal has been terminated for lack of interest,Bjorn Freeman-Benson,index.php?t=usrinfo&id=4999&,4999
176081,message #560740,ANTLR v3,Doug Schaefer,index.php?t=usrinfo&id=2124&,2124
176082,message #560741,Open Source Software Research,Eclipse User,/donate,0
176083,message #560744,Emulator framework discussion,No real name,index.php?t=usrinfo&id=328&,328
176086,message #560745,test CR,Eclipse User,/donate,0
176087,message #560756,Eclipse DemoCamps,Darin Swanson,index.php?t=usrinfo&id=30&,30
176088,message #560757,[ANN] WebSphere Voice Toolkit 6.0 available,Brent D. Metz,index.php?t=usrinfo&id=2710&,2710
176089,message #560758,jMonkeyEngine,Andreas Blochberger,index.php?t=usrinfo&id=11361&,11361
176091,message #560762,Welcome!,Dimitrios Kolovos,index.php?t=usrinfo&id=21167&,21167
176092,message #560764,HSQLDB,Eike Stepper,index.php?t=usrinfo&id=10003&,10003
176093,message #560765,team diversity,Scott Lewis,index.php?t=usrinfo&id=10749&,10749
176095,message #560767,EclipseWorld Announces Keynotes...,Alan Zeichick,index.php?t=usrinfo&id=32083&,32083
176096,message #560772,Scenario additions,Eclipse User,/donate,0
176098,message #560773,Re: [Epsilon] Moving to Modeling/GMT,Dimitrios Kolovos,index.php?t=usrinfo&id=21167&,21167
176099,message #560774,Automatic downloads,Eike Stepper,index.php?t=usrinfo&id=10003&,10003
176100,message #560775,2008 Elections,Darin Swanson,index.php?t=usrinfo&id=30&,30
176102,message #560781,[Epsilon] Re: Eugenia problems,Eclipse User,/donate,0
176104,message #560784,A vital effort...,Oisin Hurley,index.php?t=usrinfo&id=24214&,24214
176105,message #560785,How to Commit a document,Imran AR,index.php?t=usrinfo&id=54291&,54291
176106,message #560786,Commercial issues,Eclipse User,/donate,0
176107,message #560787,Java Community Process,Werner Keil,index.php?t=usrinfo&id=36613&,36613
176109,message #560797,[ANN] MyEclipse 4.0 - Now supports Eclipse 3.1,Eclipse User,/donate,0
176110,message #560801,Use cases,Mika Hoikkala,index.php?t=usrinfo&id=24302&,24302
176112,message #560805,Jakarta Commons / Net,Martin Oberhuber,index.php?t=usrinfo&id=13001&,13001
176116,message #560811,"[ANN] v4.1 - SWT Designer, Swing Designer & WindowBuilder",Eric Clayberg,index.php?t=usrinfo&id=496&,496
176118,message #560819,Can't install JWT on a fresh version of eclipse,Darwin,index.php?t=usrinfo&id=19778&,19778
176119,message #560822,OCL Question,Eike Stepper,index.php?t=usrinfo&id=10003&,10003
176120,message #560821,What is e4?,Mike Wilson,index.php?t=usrinfo&id=55&,55
176121,message #560838,Where did everybody go...?,Mike Wilson,index.php?t=usrinfo&id=55&,55
176122,message #560846,Air transportation now operational,Stefan Edlund,index.php?t=usrinfo&id=50957&,50957
176123,message #560848,Re: Model instance transformation framework,Dimitrios Kolovos,index.php?t=usrinfo&id=21167&,21167
176124,message #560851,EclipseUML Free Edition for Eclipse 3.1 and JDK 5,Vlad Varnica,index.php?t=usrinfo&id=53058&,53058
176125,message #560852,e4 Creation Review,Mike Milinkovich,index.php?t=usrinfo&id=15805&,15805
176128,message #560861,[Epsilon] Make a reference from HUTN to an element of a pre-builded model,Hector,index.php?t=usrinfo&id=54031&,54031
176130,message #560864,"[ANN] oXygen XML Editor, Schema Editor and XSLT Editor/Debugger/Profiler 6.1",Eclipse User,/donate,0
176131,message #560865,Will app isolation be supported in one Workbench (like tabs in Chrome)?,Marton Sigmond,index.php?t=usrinfo&id=51394&,51394
176132,message #560870,GEF3D Creation Review,Anne Jacko,index.php?t=usrinfo&id=26380&,26380
176133,message #560878,Eclipse Work Wanted,Charlie Kelly,index.php?t=usrinfo&id=36508&,36508
176134,message #560879,Technobuff: Requirement Coverage/Traceability plugin JRequire(TM) V1.0.1 with Eclipse 3.1 support,exquisitus,index.php?t=usrinfo&id=52743&,52743
176135,message #560882,fdg,Eclipse User,/donate,0
176136,message #560890,eclipse RCP developers :: solid domain modeling experience preferred,Blaine Wishart,index.php?t=usrinfo&id=17721&,17721
176139,message #560894,Web Performance Analyzer Eclipse Plugin EAP,Eclipse User,/donate,0
176140,message #560897,Draft: org.eclipse.draw3d.geometry,Jens von Pilgrim,index.php?t=usrinfo&id=5561&,5561
176141,message #560903,Will UI auto adjust itself?,Eclipse User,/donate,0
176142,message #560905,Combine experience,rjahn,index.php?t=usrinfo&id=87840&,87840
176143,message #560906,Team looking for Eclipse Platform/Eclipse RCP projects,Eclipse User,/donate,0
176144,message #560907,build and execution issues,Miles Parker,index.php?t=usrinfo&id=31108&,31108
176145,message #560908,"[ANN] MyEclipse 4.0 m3 - Includes Split-Screen Web Designer, UML Reverse Engineering, & New Appl",Eclipse User,/donate,0
176146,message #560909,[Epsilon] Default values in HUTN,Hector,index.php?t=usrinfo&id=54031&,54031
176147,message #560911,test,Eclipse User,/donate,0
176148,message #560912,How to use GEF3D build 3D models?,zorro,index.php?t=usrinfo&id=55498&,55498
176149,message #560916,What are those new plan items about?,Thomas Schindl,index.php?t=usrinfo&id=10577&,10577
176151,message #560918,Intro to Sapphire,Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
176152,message #560919,Sr. Eclipse Developer -- Oracle Corporation,Eclipse User,/donate,0
176153,message #560920,STEM Build Mac OS,Miles Parker,index.php?t=usrinfo&id=31108&,31108
176154,message #560921,"Oracle, Sybase, IBM Top Sponsors of Debut EclipseWorld Conference",Alan Zeichick,index.php?t=usrinfo&id=32083&,32083
176155,message #560922,testing,James private,index.php?t=usrinfo&id=62750&,62750
176156,message #560933,Eclipse- TVWorks/Comcast Employment,Sarah,index.php?t=usrinfo&id=50927&,50927
176157,message #560934,inteest--maybe,Fred Grott,index.php?t=usrinfo&id=22663&,22663
176158,message #560935,Bay Breeze Software Released SQL Edge 1.1,Eclipse User,/donate,0
176159,message #560936,rotation of planes,Matthias Then,index.php?t=usrinfo&id=58333&,58333
176160,message #560938,testing pgp,James private,index.php?t=usrinfo&id=62750&,62750
176161,message #560941,Client Server Architecture?,Christian humer,index.php?t=usrinfo&id=70271&,70271
176162,message #560946,Looking for Job / Project in eclipse IDE,Chandresh Gandhi,index.php?t=usrinfo&id=43425&,43425
176163,message #560948,jLibrary 1.0beta3 released,MartÃ­n PÃ©rez MariÃ±Ã¡n,index.php?t=usrinfo&id=16203&,16203
176164,message #560949,[HUTN] Null value on a reference,Pau Giner,index.php?t=usrinfo&id=48916&,48916
176165,message #560951,another test,James private,index.php?t=usrinfo&id=62750&,62750
176167,message #560959,questions,Alex Smirnoff,index.php?t=usrinfo&id=5548&,5548
176168,message #560960,EclipseWorld 2005 Exceeds Expectations,Alan Zeichick,index.php?t=usrinfo&id=32083&,32083
176169,message #560966,test,test,index.php?t=usrinfo&id=3594&,3594
176170,message #560968,Question on persistence of Enumeration data types using CDO,Eclipse User,/donate,0
176171,message #560969,How many bundles from a library?,Pascal,index.php?t=usrinfo&id=14782&,14782
176172,message #560974,Modelistic JME v 1.3.3 released,Eclipse User,/donate,0
176173,message #560977,Magyar: Eclipse programozót keresünk,Frank Gerhardt,index.php?t=usrinfo&id=8071&,8071
176174,message #560979,test,test,index.php?t=usrinfo&id=3594&,3594
176176,message #560985,Eclipse ALF interest?,Arto Laurila,index.php?t=usrinfo&id=24303&,24303
176177,message #560989,"[ANN] oXygen XML editor, Schema Editor and XSLT Editor/Debugger/Profiler 6.2",Eclipse User,/donate,0
176178,message #560991,first e4 milestone: 0.9 M1,Boris Bokowski,index.php?t=usrinfo&id=12828&,12828
176179,message #560992,duh!,Eclipse User,/donate,0
176181,message #560998,really interesting,Pan Daoen,index.php?t=usrinfo&id=43228&,43228
176182,message #561000,Intro blog comment from André,Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
176183,message #561002,Ideas to help Community Members become Committers,Eclipse User,/donate,0
176184,message #561003,[ANN] Software Acumen to distribute pure::variants plug-in,Mark Dalgarno,index.php?t=usrinfo&id=54984&,54984
176185,message #561005,test,Eclipse User,/donate,0
176187,message #561006,Moving Mylyn tasks to new workspace,Jonathan Gossage,index.php?t=usrinfo&id=2108&,2108
176190,message #561015,Eclipse memory consumption in general,Arto Laurila,index.php?t=usrinfo&id=24303&,24303
176191,message #561019,Contract UI Design for Eclipse,Eclipse User,/donate,0
176192,message #561020,test,Eclipse User,/donate,0
176193,message #561025,Compiler Error,Madhu Samuel,index.php?t=usrinfo&id=55604&,55604
176194,message #561026,Library EXT Example (Live Validation),Chris Aniszczyk,index.php?t=usrinfo&id=15423&,15423
176195,message #561030,Bay Breeze Software Released SQL Edge 1.2,Eclipse User,/donate,0
176196,message #561029,débutant j2ee,rami,index.php?t=usrinfo&id=90499&,90499
176197,message #561031,Meeting minutes from first committer meeting,Per Kroll,index.php?t=usrinfo&id=25853&,25853
176198,message #561033,What about ?,Michael Strothjohann,index.php?t=usrinfo&id=20384&,20384
176199,message #561035,Why 'Higgins'?,No real name,index.php?t=usrinfo&id=1077&,1077
176200,message #561034,"we're interested (Apogee, Inc.)",Eclipse User,/donate,0
176201,message #561036,testing,Steven,index.php?t=usrinfo&id=48183&,48183
176202,message #561039,Handling multiple diseases in STEM,Stefan Edlund,index.php?t=usrinfo&id=50957&,50957
176203,message #561040,Limitations,Madhu Samuel,index.php?t=usrinfo&id=55604&,55604
176204,message #561044,Seeking feedback on Google Summer of Code project idea,Jake ,index.php?t=usrinfo&id=61170&,61170
176205,message #561045,[ANN] Spket IDE 1.0 for Laszlo,Eric Suen,index.php?t=usrinfo&id=3816&,3816
176206,message #561047,Potomac forums,Chris Gross,index.php?t=usrinfo&id=26231&,26231
176207,message #561048,European committer meeting,Per Kroll,index.php?t=usrinfo&id=25853&,25853
176208,message #561050,"Internship offer at XRCE, France",Eclipse User,/donate,0
176209,message #561051,Amalgamation tip,Giovanni,index.php?t=usrinfo&id=23612&,23612
176210,message #561053,Test just to ensure...,Eclipse User,/donate,0
176211,message #561057,Sapphire - Focus on Browsing,Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
176212,message #561060,CDO library example fails to create resource,Mark Geib,index.php?t=usrinfo&id=26649&,26649
176213,message #561061,"Eclipse 3.1: JVM terminated Exit code=-1; Computer 138MB RAM, Windows98, jdk1.5",boris starchev,index.php?t=usrinfo&id=19462&,19462
176214,message #561064,Meeting minutes from 2006.06.17 BUP subproject conference call available,Brian G. Lyons,index.php?t=usrinfo&id=25634&,25634
176215,message #561068,Higgins Project Web Pages,Mary Ruddy,index.php?t=usrinfo&id=14296&,14296
176216,message #561067,Amalgamation desert,Giovanni,index.php?t=usrinfo&id=23612&,23612
176217,message #561069,test,test,index.php?t=usrinfo&id=3594&,3594
176218,message #561079,Is anyone using AspectJ,Eclipse User,/donate,0
176219,message #561080,"[ANN] v4.2 - SWT Designer, Swing Designer & WindowBuilder Pro",John Markson,index.php?t=usrinfo&id=36997&,36997
176220,message #561083,Re: SSO Discussion continued,Mike Milinkovich,index.php?t=usrinfo&id=15805&,15805
176221,message #561085,a simple idea for more flexible bundle repository,Eugene Kuleshov,index.php?t=usrinfo&id=3527&,3527
176222,message #561086,test,test,index.php?t=usrinfo&id=3594&,3594
176223,message #561092,import a class from another project,Williams Mising name,index.php?t=usrinfo&id=59572&,59572
176224,message #561096,Can commercial software use eclipse icons?,Eclipse User,/donate,0
176225,message #561102,STEM Migration Plans and Release Schedule,Judy Douglas,index.php?t=usrinfo&id=60030&,60030
176226,message #561104,gfdgdfgsdf,test,index.php?t=usrinfo&id=3594&,3594
176227,message #561106,Some news coverage of Sapphire proposal,Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
176228,message #561111,Embedded developers get new collaboration tool,Mark Dalgarno,index.php?t=usrinfo&id=54984&,54984
176229,message #561112,org.eclipse.core.runtime 0 java.lang.NullPointerExceptio,Eclipse User,/donate,0
176230,message #561114,Which spider graphing tool are you using?,Nigel DeFreitas,index.php?t=usrinfo&id=32048&,32048
176231,message #561116,Amalgam downloads available,Richard Gronback,index.php?t=usrinfo&id=17086&,17086
176232,message #561118,STEM move to new SVN repository now complete,Stefan Edlund,index.php?t=usrinfo&id=50957&,50957
176233,message #561121,bespin,Gary Horen,index.php?t=usrinfo&id=53350&,53350
176234,message #561122,One Framework to bind them All ?!,Werner Keil,index.php?t=usrinfo&id=36613&,36613
176235,message #561125,test,Eclipse User,/donate,0
176236,message #561126,Wirelexsoft announces Eclipse-based VistaMax IDE for Series 60 and UIQ Symbian-based Platforms.,arfeifei,index.php?t=usrinfo&id=13562&,13562
176237,message #561135,ODE Solvers now part of the STEM scenario,Stefan Edlund,index.php?t=usrinfo&id=50957&,50957
176238,message #561138,Draw3d Program,Madhu Samuel,index.php?t=usrinfo&id=55604&,55604
176239,message #561141,gfdsgfsdgdfgsfdg,Eclipse User,/donate,0
176240,message #561142,eclipse.technology.ajdt newsgroup usage,Mik Kersten,index.php?t=usrinfo&id=1790&,1790
176241,message #561146,RMC library Repository,Eclipse User,/donate,0
176242,message #561145,Adobe/Macromedia looking for Eclipse experts for the Flex Builder project,Sho Kuwamoto,index.php?t=usrinfo&id=16480&,16480
176243,message #561147,"Security ""Short Talks"" at EclipseCon",Jay Rosenthal,index.php?t=usrinfo&id=24287&,24287
176244,message #561148,Wget problem,Pamela,index.php?t=usrinfo&id=79569&,79569
176245,message #561151,Population Models,Stefan Edlund,index.php?t=usrinfo&id=50957&,50957
176246,message #561150,Re: Available Extension Points for UML2Tools,Dimitrios Kolovos,index.php?t=usrinfo&id=21167&,21167
176247,message #561159,Requirements to epf,Mauro,index.php?t=usrinfo&id=26900&,26900
176248,message #561164,update site,Mark,index.php?t=usrinfo&id=903&,903
176249,message #561169,Wiki images updated,James Kaufman,index.php?t=usrinfo&id=34928&,34928
176250,message #561170,Build Higgins 0.2,Jim Wright,index.php?t=usrinfo&id=25933&,25933
176251,message #561175,Third party libraries used by TPTP,Hubert Leung,index.php?t=usrinfo&id=14967&,14967
176252,message #561173,JavaOne 2006,Eclipse User,/donate,0
176253,message #561172,[ANN] DaimlerChrysler use Eclipse plug-in in new software development approach,Mark Dalgarno,index.php?t=usrinfo&id=54984&,54984
176254,message #561174,just a test,Eclipse User,/donate,0
176257,message #561178,Feature request: Dynamic aspecting,Eclipse User,/donate,0
176258,message #561180,can CDO resources reside in different databases,Mark Geib,index.php?t=usrinfo&id=26649&,26649
176259,message #561186,New STEM Tutorial On YouTube,James Kaufman,index.php?t=usrinfo&id=34928&,34928
176261,message #561189,Eclipse GUI Developer Role,Eclipse User,/donate,0
176262,message #561191,First Test,Eclipse User,/donate,0
176263,message #561194,"Notation introduced in the ""DSL Toolkit"" book",Eclipse User,/donate,0
176264,message #561195,Meeting notes from 2006.02.08 BUP component conference call available now,Ricardo Balduino,index.php?t=usrinfo&id=22588&,22588
176265,message #561196,using AspectJ in plugin development ?,Konstantin Dorodov,index.php?t=usrinfo&id=1692&,1692
176266,message #561198,Doubts about the project,Markus Voelter,index.php?t=usrinfo&id=24964&,24964
176267,message #561199,Welcome to ORMF,Joel Rosi-Schwartz,index.php?t=usrinfo&id=1861&,1861
176268,message #561203,Would like to get started: where do I get information,Eclipse User,/donate,0
176269,message #561204,Weekly technical call,No real name,index.php?t=usrinfo&id=328&,328
176270,message #561205,Error running demo application,Pat Felsted,index.php?t=usrinfo&id=32690&,32690
176271,message #561208,Test Post,Matt,index.php?t=usrinfo&id=1773&,1773
176272,message #561207,BioCaster,Werner Keil,index.php?t=usrinfo&id=36613&,36613
176273,message #561209,[ANN] CodePro AnalytiX v4.3,John Markson,index.php?t=usrinfo&id=36997&,36997
176274,message #561210,Eclipse RCP and Plugins Developer,Eclipse User,/donate,0
176275,message #561212,Problem getting Draw3d to draw something,Thomas Schindl,index.php?t=usrinfo&id=10577&,10577
176276,message #561214,About translations,Mauro,index.php?t=usrinfo&id=26900&,26900
176277,message #561221,eclipseme,Joris Verschoor,index.php?t=usrinfo&id=5341&,5341
176278,message #561225,No STEM Call 8/12,Judy Douglas,index.php?t=usrinfo&id=60030&,60030
176279,message #561226,A Converstation with Erich Gamma,Eclipse User,/donate,0
176280,message #561227,How does the amalgamation project create the DSL Toolkit product?,Marc Moser,index.php?t=usrinfo&id=48579&,48579
176281,message #561232,Position available -Sr. User Interface Developer -Toronto,Eclipse User,/donate,0
176282,message #561238,testing 123,Lawrence,index.php?t=usrinfo&id=19812&,19812
176283,message #561242,Signature of IFigure3D.render(..) and other similar methods changed,Jens von Pilgrim,index.php?t=usrinfo&id=5561&,5561
176284,message #561243,STEM Community,Judy Douglas,index.php?t=usrinfo&id=60030&,60030
176285,message #561246,Use Case documents,Mika Hoikkala,index.php?t=usrinfo&id=24302&,24302
176286,message #561257,Bla getri,Eclipse User,/donate,0
176287,message #561261,[ANN] DOORS® users get access to product variant solution,Mark Dalgarno,index.php?t=usrinfo&id=54984&,54984
176288,message #561262,Matching source bundle for 3.4.2 draw2d?,Jeff Berkowitz,index.php?t=usrinfo&id=61756&,61756
176289,message #561264,European Committer Meeting: March 6-7 in Bilbao Spain,Per Kroll,index.php?t=usrinfo&id=25853&,25853
176290,message #561265,DSL Toolkit M1 - Extension/New,Ioan Salau,index.php?t=usrinfo&id=59162&,59162
176291,message #561269,Work With The Experts,Kevin Taylor,index.php?t=usrinfo&id=22427&,22427
176292,message #561270,Sash from VE,Eugene Ostroukhov,index.php?t=usrinfo&id=16512&,16512
176293,message #561279,Perspective and UI Questions,Jesse Riggins,index.php?t=usrinfo&id=48958&,48958
176294,message #561282,class-files,No real name,index.php?t=usrinfo&id=1591&,1591
176295,message #561283,Spanish Languate STEM Tutorial now on YouTube !!,James Kaufman,index.php?t=usrinfo&id=34928&,34928
176296,message #561284,Linux for the Eclipse Windows Platform,Ramin Assisi,index.php?t=usrinfo&id=43524&,43524
176297,message #561285,Nebula should consider using draw2d,Randy Hudson,index.php?t=usrinfo&id=261&,261
176298,message #561287,Senior UI Engineer (Eclipse),Eclipse User,/donate,0
176299,message #561292,finally...,Eclipse User,/donate,0
176300,message #561296,Method names in interface Renderable renamed,Jens von Pilgrim,index.php?t=usrinfo&id=5561&,5561
176301,message #561301,New skins for the STEM main site,Stefan Edlund,index.php?t=usrinfo&id=50957&,50957
176302,message #561300,Flash movie (viewlets) tutorials of Useme available online,Joel Rosi-Schwartz,index.php?t=usrinfo&id=1861&,1861
176303,message #561302,[ANN] oXygen XML editor - Eclipse developer edition,Eclipse User,/donate,0
176304,message #561307,ISiteFactory implementation on top of the Buckminster Maven provider?,Thomas Hallgren,index.php?t=usrinfo&id=14845&,14845
176305,message #561311,Adobe looking for great Eclipse engineers for Flex Builder project (take 2),Sho Kuwamoto,index.php?t=usrinfo&id=16480&,16480
176306,message #561314,A couple of errors in ..draw3d,Miles Parker,index.php?t=usrinfo&id=31108&,31108
176307,message #561316,Anyone up for a masterly debate at EclipseCon?,Barbara Rosi-Schwartz,index.php?t=usrinfo&id=1920&,1920
176308,message #561317,Publication Available,Judy Douglas,index.php?t=usrinfo&id=60030&,60030
176309,message #561319,EzMgt MIB Browser 1.0.3 beta released,Musachy Barroso,index.php?t=usrinfo&id=20124&,20124
176310,message #561320,About Presentation API,Mauro,index.php?t=usrinfo&id=26900&,26900
176311,message #561322,Congratulations!,Mike Milinkovich,index.php?t=usrinfo&id=15805&,15805
176312,message #561326,Amalgam update site,Stefan Daume,index.php?t=usrinfo&id=23882&,23882
176314,message #561332,IBM J9 VM,chris,index.php?t=usrinfo&id=1083&,1083
176316,message #561337,nmad,Eclipse User,/donate,0
176318,message #561340,Feedback,Kenn Hussey,index.php?t=usrinfo&id=1904&,1904
176319,message #561342,Commercial use of BIRT,Eclipse User,/donate,0
176321,message #561352,Welcome,Gerald Preissler,index.php?t=usrinfo&id=41053&,41053
176323,message #561354,Wiki Page created,Christian Kurzke,index.php?t=usrinfo&id=28182&,28182
176324,message #561357,AGR,xin,index.php?t=usrinfo&id=57426&,57426
176325,message #561356,STEM Article create on Wikipedia,James Kaufman,index.php?t=usrinfo&id=34928&,34928
176326,message #561360,What's the project going to deliver?,Oisin Hurley,index.php?t=usrinfo&id=24214&,24214
176327,message #561363,I am looking for updates on this project.,sck,index.php?t=usrinfo&id=16120&,16120
176328,message #561365,Re: HUTN Eclipse / Epsilon,Louis Rose,index.php?t=usrinfo&id=44470&,44470
176330,message #561368,Best strategy for updating all figures?,Miles Parker,index.php?t=usrinfo&id=31108&,31108
176331,message #561370,Issue with loading properties from a CDO resource in Library Example project,Eclipse User,/donate,0
176333,message #561373,Experienced Eclipse RCP developer wanted at Cisco: Req 742338,Eric DeBolle,index.php?t=usrinfo&id=21666&,21666
176334,message #561374,TmL meeting at Linux World,Christian Kurzke,index.php?t=usrinfo&id=28182&,28182
176335,message #561377,Call for Papers for Rational Software Development Conference 2006 - New Open ComputingTrack,Eclipse User,/donate,0
176336,message #561379,EPF Composer and ClearCase,Eclipse User,/donate,0
176338,message #561385,STEM Milestone M1 now available with Automated Experiments,James Kaufman,index.php?t=usrinfo&id=34928&,34928
176339,message #561387,Welcome to Mangrove!,Adrian Mos,index.php?t=usrinfo&id=30834&,30834
176340,message #561391,news,Mark,index.php?t=usrinfo&id=903&,903
176341,message #561390,Eclipse plug-in: Invalid Activator,Eclipse User,/donate,0
176342,message #561401,Antenne Contributor Joining,Fred Grott,index.php?t=usrinfo&id=22663&,22663
176343,message #561402,Dynamic bundle wrapping/manifest injection,Philippe Ombredanne,index.php?t=usrinfo&id=6676&,6676
