file_number,message_id,title,author,author_link,author_id
10039,message #30890,Problem with implementation the swt directorydialog as a plugin,Artur Zeiler,index.php?t=usrinfo&id=55409&,55409
1004,message #2662,Creation review scheduled for August 15,Jess Garms,index.php?t=usrinfo&id=17355&,17355
10040,message #30891,migrating CDO data from old to new schema,Mark Geib,index.php?t=usrinfo&id=26649&,26649
10041,message #30898,eclipse-jee-ganymede link with subversive,opengloves,index.php?t=usrinfo&id=49780&,49780
10042,message #30905,SWT Image to  Blob to InputStream,Eclipse User,/donate,0
10043,message #30906,How to remove feedback of figure outside canvas visible window ?,Li Ding,index.php?t=usrinfo&id=9817&,9817
10044,message #30910,Eclipse and JUnit,Eclipse User,/donate,0
10045,message #30914,[ATL] sequencing references,Eclipse User,/donate,0
10046,message #30917,OCL on meta-models,Eclipse User,/donate,0
10047,message #30918,[CompositeTable] Bug - CompositeTableSnippet6 Crash,Ivan Mising name,index.php?t=usrinfo&id=25842&,25842
10048,message #30922,problem with printing,Eclipse User,/donate,0
10049,message #30925,Java source folder as a subfolder in hierarchy,Petr Hosek,index.php?t=usrinfo&id=55410&,55410
1005,message #2666,Re: ImportManager and JET2,Eclipse User,/donate,0
10050,message #30926,EMFT Transaction Documentation,Eclipse User,/donate,0
10051,message #30934,Passing info between Servlet and EntryPoint,Roberto Sanchez,index.php?t=usrinfo&id=36571&,36571
10052,message #30937,FrOSCon 2006 - Call for {Papers|Projects},Eclipse User,/donate,0
10053,message #30939,single selection only in treeviewer,Joachim Schoder,index.php?t=usrinfo&id=16028&,16028
10054,message #30942,grouping using the oda,Eric Deshayes,index.php?t=usrinfo&id=55065&,55065
10055,message #30943,From uml to gmf,Eclipse User,/donate,0
10056,message #30944,[JET2] Struggling with iterate command,Eclipse User,/donate,0
10057,message #30945,Specific help starting Eclipse as stand alone application,Lance Phillips,index.php?t=usrinfo&id=3028&,3028
10058,message #30947,Problems with obfusctaion,erik,index.php?t=usrinfo&id=64511&,64511
1006,message #2670,[TCS] KM3 unique attribute,T Kruse,index.php?t=usrinfo&id=46450&,46450
10060,message #30960,Change the style (viewer) of a view,Matthias Kohles,index.php?t=usrinfo&id=53817&,53817
10061,message #30963,AJDT and out of memory,Eclipse User,/donate,0
10062,message #30965,copy&paste,jonathan zhang,index.php?t=usrinfo&id=9769&,9769
10063,message #30971,eclipse as mbean,Eclipse User,/donate,0
10064,message #30974,Add UndoButton to Toolbar,Joachim Schoder,index.php?t=usrinfo&id=16028&,16028
10065,message #30981,Adding menus programmatically to the workbench,Hans Dockter,index.php?t=usrinfo&id=3327&,3327
10066,message #30983,Implementing OHF,Eclipse User,/donate,0
10067,message #30989,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10068,message #30993,Design docs on datastore/miner architecture,Eclipse User,/donate,0
10069,message #30994,ToolTip in draw2d version of WSAD 4.1.1,Eclipse User,/donate,0
1007,message #2671,What's up?,Pascal Rapicault,index.php?t=usrinfo&id=2478&,2478
10070,message #31001,How to *implement* the process?,Eclipse User,/donate,0
10071,message #31007,Xerces DOMParser,Tarek Garoui,index.php?t=usrinfo&id=59438&,59438
10072,message #31013,How to change node figure at runtime?,Eclipse User,/donate,0
10073,message #31017,Building JET2 files using ANT,Eclipse User,/donate,0
10074,message #31024,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10075,message #31027,Inconsistent API SWTBotMenu,Kay-Uwe Graw,index.php?t=usrinfo&id=60596&,60596
10076,message #31029,Outline view in GEF,yinglcs,index.php?t=usrinfo&id=2866&,2866
10077,message #31031,How to cancel the TCP listener in PDE test runner,romu,index.php?t=usrinfo&id=54032&,54032
10078,message #31034,Whether  EMF model and actual java object of a bean are interconvertible?,Eclipse User,/donate,0
10079,message #31036,AspectJ/AJDT in M7 works in the PDE ...,Eclipse User,/donate,0
10080,message #31040,Question about Hitchhiker,Eclipse User,/donate,0
10081,message #31042,Election Results,Mike Milinkovich,index.php?t=usrinfo&id=15805&,15805
10082,message #31044,"No ""Universal Test Client"" included in IBM's WTP initial contribution?",Eclipse User,/donate,0
10083,message #31045,File access,Eclipse User,/donate,0
10084,message #31048,Fixed point note,Eclipse User,/donate,0
10085,message #31053,Data Item cannot be seen in Preview,Wins,index.php?t=usrinfo&id=17722&,17722
10086,message #31055,mapping of object db - edit problem,Carmelo ,index.php?t=usrinfo&id=16346&,16346
10087,message #31059,[BUILD] R0.95-M,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10088,message #31061,resizing rows,Eclipse User,/donate,0
10089,message #31062,building from source,Will Horn,index.php?t=usrinfo&id=28374&,28374
1009,message #2676,[PROJECT] - Collaboration and Government Infrastructure  (CAGI),Eclipse User,/donate,0
10090,message #31064,Popup menu in Graphic Editor,yinglcs,index.php?t=usrinfo&id=2866&,2866
10091,message #31066,Markers in CompareEditor,Eclipse User,/donate,0
10092,message #31070,VE load,Eclipse User,/donate,0
10093,message #31074,Reg: Assisting Roles,S.Saravanan,index.php?t=usrinfo&id=32332&,32332
10094,message #31083,Gmfgen example files,Eclipse User,/donate,0
10095,message #31090,Using eclipse on Red Hat Linux,Brennan Spies,index.php?t=usrinfo&id=16020&,16020
10096,message #31093,mapping of object database - edit with external editor,Carmelo ,index.php?t=usrinfo&id=16346&,16346
10097,message #31095,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10098,message #31098,How to click a link in a view,Galina Bocheva,index.php?t=usrinfo&id=61320&,61320
10099,message #31103,"Automated unit testing: ""org.eclipse.test.coretestapplication"" could not be foun",Rogan Creswick,index.php?t=usrinfo&id=55399&,55399
101,message #257,DSDP still in proposal phase?,Eddie Correia,index.php?t=usrinfo&id=26000&,26000
1010,message #2677,Word Wrap in Eclipse 3.1,Lee Weng Kong,index.php?t=usrinfo&id=15074&,15074
10100,message #31115,Custom projects,Eclipse User,/donate,0
10101,message #31116,Headless Build for Custom Builder,Eclipse User,/donate,0
10102,message #31117,replacing driver definitions page/connection wizards,Michael Spector,index.php?t=usrinfo&id=24210&,24210
10103,message #31118,open a new diagram using OpenDiagramPolicy,Eclipse User,/donate,0
10104,message #31120,Problems with preverification,Wolfgang Grossinger,index.php?t=usrinfo&id=27484&,27484
10105,message #31122,[ATL] Transformation only executes once,Eclipse User,/donate,0
10106,message #31124,Resolving problem with using birt on Debian/Linux,Eclipse User,/donate,0
10107,message #31132,Disabling palette entry,Yoav Rubin,index.php?t=usrinfo&id=1301&,1301
10108,message #31133,EMFT OCL without Eclipse,Steffen Becker,index.php?t=usrinfo&id=23832&,23832
10109,message #31134,indispensible plugins,Eclipse User,/donate,0
10110,message #31135,SWTBot application and plugin,Brice Laurel,index.php?t=usrinfo&id=54754&,54754
10111,message #31136,Stopping View from listening Key Sequence,Anup,index.php?t=usrinfo&id=54296&,54296
10112,message #31141,GridBagConstraints set too late?,Eclipse User,/donate,0
10113,message #31142,Project transfer problem.,Eclipse User,/donate,0
10114,message #31146,How to write plugins with the new OSGi model,Kevin Duffey,index.php?t=usrinfo&id=4428&,4428
10115,message #31149,key bindings overview as pdf-file,jochen vogele,index.php?t=usrinfo&id=3750&,3750
10116,message #31157,Questions about XSD transformation,Eclipse User,/donate,0
10117,message #31162,best method for deploying/uploading project,Eclipse User,/donate,0
10118,message #31164,generating sample xml from xsd,Eclipse User,/donate,0
10119,message #31167,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
1012,message #2681,WTP Transition Plan,Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
10120,message #31171,scripting Eclipse builds?,John Cortell,index.php?t=usrinfo&id=14800&,14800
10121,message #31173,Extensions and Extension Points,Paul Richardson,index.php?t=usrinfo&id=53123&,53123
10122,message #31179,Cannot reference a new plug-in?,Eclipse User,/donate,0
10123,message #31185,Use Shell Handle to get window,Greg Roberts,index.php?t=usrinfo&id=7548&,7548
10125,message #31188,Link Restriction on a Node,Balraj Kannan,index.php?t=usrinfo&id=30786&,30786
10126,message #31191,name of the file input model,Eclipse User,/donate,0
10127,message #31193,Reference Sheet or User Guide?,Shaun Galey,index.php?t=usrinfo&id=40151&,40151
10128,message #31194,running JDT on MS Terminal server ?,Eclipse User,/donate,0
10129,message #31197,Alternative for open source reporting,Eclipse User,/donate,0
1013,message #2685,Namespace reporting is not ebavled,barak,index.php?t=usrinfo&id=52423&,52423
10130,message #31198,"hang at 0% on ""Building/Creating Model""",Eclipse User,/donate,0
10131,message #31202,Task Update,Gunter Pfeiffer,index.php?t=usrinfo&id=53114&,53114
10132,message #31204,[xtext] augment generated ecore model,Eclipse User,/donate,0
10133,message #31207,Best place to move anchors depending on node's figure size after a resize?,Alexandre Vermeerbergen,index.php?t=usrinfo&id=1673&,1673
10134,message #31212,-> Developerversion 1.1.6 is not Lancaster right?,Martin Kersten,index.php?t=usrinfo&id=4174&,4174
10135,message #31214,How to build EPF from source,Kris Missing name,index.php?t=usrinfo&id=2716&,2716
10136,message #31216,cant Debug using eclipse 2.1,Eclipse User,/donate,0
10137,message #31217,How do I make eclipse use CVS information already in the folder.,Eclipse User,/donate,0
10138,message #31218,Data Connection to MySQL,Eclipse User,/donate,0
10139,message #31221,Making a custom perspective the default,Eclipse User,/donate,0
1014,message #2688,Use of org.eclipse.bpel.common.model,Philipp,index.php?t=usrinfo&id=25141&,25141
10140,message #31222,Help ! Help!,Eclipse User,/donate,0
10141,message #31224,Problems with Proguard configuration in MTJ on Debian box,Konstantin Kucher,index.php?t=usrinfo&id=64888&,64888
10142,message #31226,"[JET] Resource-tags related exceptions when running ""headless"" transform",Florian Georg,index.php?t=usrinfo&id=38418&,38418
10143,message #31229,how to delete remote working folder  ...,Carmelo ,index.php?t=usrinfo&id=16346&,16346
10144,message #31235,Gallery screenshots,Nicolas Richeton,index.php?t=usrinfo&id=28595&,28595
10145,message #31236,JRuby Support (strikes back),Eclipse User,/donate,0
10146,message #31237,PDE build problems.,Ketan Padegaonkar,index.php?t=usrinfo&id=17816&,17816
10147,message #31238,Running into Deadlocks using EMF Transaction API?,Eclipse User,/donate,0
10148,message #31241,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10149,message #31244,What is the most efficient way to debug plug-ins?,Derek Palma,index.php?t=usrinfo&id=61353&,61353
1015,message #2691,Any updates?,Eclipse User,/donate,0
10150,message #31245,ECLIPSE can't start,Eclipse User,/donate,0
10151,message #31247,Getting Parameters from URL or Request Part II,Markus  rüger,index.php?t=usrinfo&id=37295&,37295
10152,message #31260,Create package: Build error,Anna Zacchi,index.php?t=usrinfo&id=61486&,61486
10153,message #31262,author to Person,beaperez Mising name,index.php?t=usrinfo&id=52752&,52752
10154,message #31266,Eclipse PDT + RSE (FTP),Scott,index.php?t=usrinfo&id=58538&,58538
10155,message #31267,Outputting code with report designer,Eclipse User,/donate,0
10156,message #31269,[CompositeTable] Sample code to demonstrate databinding in a CompositeTable,Eclipse User,/donate,0
10157,message #31273,Interactive OCL Console Anywhere,Eclipse User,/donate,0
10158,message #31279,Weave on jars removes the non class files,Eclipse User,/donate,0
10159,message #31284,remove unnecessary plugins,Mark Melia,index.php?t=usrinfo&id=52369&,52369
1016,message #2698,Install Problems,Michal Kroll,index.php?t=usrinfo&id=15937&,15937
10160,message #31291,Database default schema handling,Eclipse User,/donate,0
10161,message #31292,Re: ant for JET?,Eclipse User,/donate,0
10162,message #31294,[ATL] : module datatype declaration,Eclipse User,/donate,0
10163,message #31299,Using nebula widgets in a view of eclipse,zakir Hussain,index.php?t=usrinfo&id=30972&,30972
10164,message #31303,[Announce] TMF XTEXT 0.7.0 I200903100545 is available,Patrick Schoenbach,index.php?t=usrinfo&id=17407&,17407
10165,message #31306,[BUILD] R0.95-R,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10166,message #31312,Problems with together,Eclipse User,/donate,0
10167,message #31315,"""No ClassLoader"" error, how to fix it ?",romu,index.php?t=usrinfo&id=54032&,54032
10168,message #31320,Strange compartment problem,Hao Zhang,index.php?t=usrinfo&id=16442&,16442
10169,message #31321,Tables are not shown under the Schema folder,Marcos,index.php?t=usrinfo&id=38099&,38099
1017,message #2703,[GOVERNANCE] - The Prime Directives of Ethical Business,Eclipse User,/donate,0
10170,message #31322,[JET2] Is there a Tag librairies ZOO ?,Guillaume Gauffre,index.php?t=usrinfo&id=45318&,45318
10171,message #31323,Re: Multiple metamodels not supported?,Eclipse User,/donate,0
10172,message #31325,"[MTJ RC4] when edit code ,eclipse crashed.",ryan_hust,index.php?t=usrinfo&id=58309&,58309
10173,message #31333,Menus and Mac,Jens Bendisposto,index.php?t=usrinfo&id=40368&,40368
10174,message #31337,trouble building weblogic ant project w/i eclipse,Eclipse User,/donate,0
10175,message #31340,Calendar Widget,Roberto Sanchez,index.php?t=usrinfo&id=36571&,36571
10176,message #31345,Feature version and update site,Anil Samuel,index.php?t=usrinfo&id=24646&,24646
10177,message #31346,Howto invoke an antfile through transformation?,Eclipse User,/donate,0
10178,message #31347,stereotype  missing: invariant/postcondition/precondition,Eclipse User,/donate,0
10179,message #31350,"Looking for ""Eclipse vs NetBeans vs Borland OpenTools"" white paper",David Vydra,index.php?t=usrinfo&id=1963&,1963
1018,message #2707,"No, this project is not dead",Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
10180,message #31355,[Announce] EMFT OCL 1.0.0M6a is available,Eclipse User,/donate,0
10182,message #31363,Uploader Widget,Roberto Sanchez,index.php?t=usrinfo&id=36571&,36571
10183,message #31365,"Problem with ""Rich Text Editor""",Eclipse User,/donate,0
10184,message #31367,data to text,Eclipse User,/donate,0
10185,message #31369,Re: OCL plugin,Eclipse User,/donate,0
10186,message #31371,selections in the workbench,Carlo Marchiori,index.php?t=usrinfo&id=3794&,3794
10187,message #31374,[GridViewer] What's the development status ?,Eclipse User,/donate,0
10188,message #31376,[Announce] EMFT QUERY 1.0.0M6a is available,Eclipse User,/donate,0
10189,message #31379,Jar contents not exported,Jochen Mader,index.php?t=usrinfo&id=50590&,50590
1019,message #2718,Is it possible to modify the position of Diagram menu on main menu bar?,Eclipse User,/donate,0
10191,message #31390,Don't forget to register for EclipseCon,Eclipse User,/donate,0
10192,message #31394,UML add-on,scott,index.php?t=usrinfo&id=9357&,9357
10193,message #31396,new article: How to process OCL Abstract Syntax Trees,Miguel Garcia,index.php?t=usrinfo&id=33708&,33708
10194,message #31392,install xerces plugin,Tarek Garoui,index.php?t=usrinfo&id=59438&,59438
10195,message #31398,newbie - need some help on buildpath setting,Ning Yap,index.php?t=usrinfo&id=1306&,1306
10196,message #31402,Using PDT with XAMPP,Eclipse User,/donate,0
10197,message #31406,Automatic build config selection,Jiri Mares,index.php?t=usrinfo&id=4977&,4977
10198,message #31408,"[contribution] Hello Gef #3, a minimalist example with nodes, connections, custom anchor and Manhatt",Alexandre Vermeerbergen,index.php?t=usrinfo&id=1673&,1673
10199,message #31413,Exception in Test Perspective,David Read,index.php?t=usrinfo&id=22880&,22880
102,message #258,Vote for Eclipse,Eclipse User,/donate,0
10200,message #31415,Update site for e3.3 does not contain complete set of artifacts?,Dave Syer,index.php?t=usrinfo&id=22901&,22901
10201,message #31422,IProblemReporter and DLTKProblemReporter - clearMarkers missing and/or deprecated?,Charles Doucette,index.php?t=usrinfo&id=28564&,28564
10202,message #31427,IBM contribution: deploying current project to server,Michael Greer,index.php?t=usrinfo&id=8528&,8528
10203,message #31435,Error when comparing revisions,Eclipse User,/donate,0
10204,message #31436,No Code Assist in AJDT1.1.4,Eclipse User,/donate,0
10205,message #31441,Quick Tut?,Shaun Galey,index.php?t=usrinfo&id=40151&,40151
10206,message #31442,Anyone using JIRA 3.10?,Dave Syer,index.php?t=usrinfo&id=22901&,22901
10207,message #31443,Upgrade Woes 3.1.0 to 3.1.2,John Neal,index.php?t=usrinfo&id=25534&,25534
10208,message #31445,How to get .execution file from an ExecutionEvent?,Martha Andrews,index.php?t=usrinfo&id=11163&,11163
10209,message #31449,How to add Wizards to WizardCategory programmatically,Raghava Rao,index.php?t=usrinfo&id=25979&,25979
10210,message #31450,Connection Framework for RCP - Best practises?,Eclipse User,/donate,0
10212,message #31454,[Announce] EMFT VALIDATION 1.0.0M6a is available,Eclipse User,/donate,0
10213,message #31456,Improvements for testing RCP applications,Ralf Ebert,index.php?t=usrinfo&id=61325&,61325
10214,message #31460,DSDP MTJ 1.0 is released!,Gustavo de Paula,index.php?t=usrinfo&id=43124&,43124
10215,message #31461,Border item problem,Hao Zhang,index.php?t=usrinfo&id=16442&,16442
10216,message #31462,PDT 1.0 M1 much slower while editing ?,Bruce Heller,index.php?t=usrinfo&id=65904&,65904
10217,message #31463,IBM.ZIP file incorrect,Eclipse User,/donate,0
10218,message #31467,The XS package in Xerces vs XSD,Joshua Hui,index.php?t=usrinfo&id=4887&,4887
10219,message #31468,Team>Update not updating recursively,Eclipse User,/donate,0
10220,message #31477,updated rap from cvs and now get error with deploying in jboss,Markus  rüger,index.php?t=usrinfo&id=37295&,37295
10221,message #31478,how TPTP really works,Eclipse User,/donate,0
10222,message #31483,LayoutManager that acts allows absolute positioning and resizing,jonathan zhang,index.php?t=usrinfo&id=9769&,9769
10223,message #31485,does LPEX support context-sensitive pop-up help?,Eclipse User,/donate,0
10225,message #31489,Popup Menu generation on Plugin Startup,Eclipse User,/donate,0
10226,message #31491,CompletionProposal.METHOD_REF fails - but KEYWORD succeeds - why?,Charles Doucette,index.php?t=usrinfo&id=28564&,28564
10227,message #31492,Multiple selection of grid items,Eclipse User,/donate,0
10228,message #31493,MTJ overwriting build.properties,teknokrat,index.php?t=usrinfo&id=11563&,11563
10229,message #31494,[Xtext] Start/use generated DSL editor,Ilyas Keser,index.php?t=usrinfo&id=57058&,57058
10230,message #31498,Changing WebContent name folder,Ludovic,index.php?t=usrinfo&id=23737&,23737
10231,message #31502,Help with generic setting of sf values,Lance Phillips,index.php?t=usrinfo&id=3028&,3028
10232,message #31510,Non standard compiler options,Eclipse User,/donate,0
10233,message #31518,[Announce] EMFT TRANSACTION 1.0.0M6a is available,Eclipse User,/donate,0
10234,message #31521,EclipseCon 2006 Almost Sold-Out,Bjorn Freeman-Benson,index.php?t=usrinfo&id=16161&,16161
10235,message #31524,No schemas displayed when connecting to DB2 Express-C V9.1,JG,index.php?t=usrinfo&id=33105&,33105
10236,message #31525,Extra space needed in name to find a menu item,Anders Baumann,index.php?t=usrinfo&id=44454&,44454
10237,message #31526,Nebula Jar,Eclipse User,/donate,0
10238,message #31529,[Announce] TMF XTEXT 0.7.0 I200903111305 is available,Patrick Schoenbach,index.php?t=usrinfo&id=17407&,17407
10239,message #31532,missing class in IBM contribution: com.ibm.etools.j2ee.ui.LibDirBuilder,Eclipse User,/donate,0
10240,message #31534,Call for participation: TM 3.1m5 test pass on 1-Feb-2009,Martin Oberhuber,index.php?t=usrinfo&id=13001&,13001
10241,message #31535,Activity Diagram,Eclipse User,/donate,0
10242,message #31537,Merge changed between in 0.7.2 ?,Eclipse User,/donate,0
10243,message #31546,"AJDT, AspectJ and VerifyError",Eclipse User,/donate,0
10244,message #31548,[ATL] find a target element by resolveTemp,Eclipse User,/donate,0
10245,message #31552,[Announce] EMFT JET  is available,Paul Elder,index.php?t=usrinfo&id=9838&,9838
10246,message #31553,Key word or preserved word,Eclipse User,/donate,0
10247,message #31554,Adding beans programmatically.,Eclipse User,/donate,0
10249,message #31556,[Announce] MDT OCL 1.1.0 1.1 is available,Eclipse User,/donate,0
10250,message #31568,IBm contrib : java search,Ludovic,index.php?t=usrinfo&id=23737&,23737
10251,message #31569,EPF Finnish Language Support (NL2a),Henrik TerÃ¤vÃ¤,index.php?t=usrinfo&id=42300&,42300
10252,message #31570,"Hang while loading workspace, possibly related to Target Management.",Robin Fernandes,index.php?t=usrinfo&id=32383&,32383
10253,message #31573,Change SelectEditPartTracker to direct edit a Location Request,Hal,index.php?t=usrinfo&id=2865&,2865
10254,message #31576,Externalise Strings Wizard,Eclipse User,/donate,0
10255,message #31577,Analogue JPanel for SWT?,Eclipse User,/donate,0
10256,message #31578,STEM pscific newsgroup,Eclipse User,/donate,0
10257,message #31581,Bowstreet as an Aspect Weaving Tool?,Eclipse User,/donate,0
10258,message #31585,Working with images,Roberto Sanchez,index.php?t=usrinfo&id=36571&,36571
10259,message #31589,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
1026,message #2725,[Ganymede build] .sc file question,lucas bigeardel,index.php?t=usrinfo&id=19640&,19640
10260,message #31596,Announcement: Oracle Database Plugin for Eclipse Data Tools Platform Early Adopter now available,Anil Samuel,index.php?t=usrinfo&id=24646&,24646
10262,message #31600,DataExplorer Inital Thoughts...,Jeff Duska,index.php?t=usrinfo&id=2837&,2837
10263,message #31601,VE installation problem,herbert Linseisen,index.php?t=usrinfo&id=14440&,14440
10264,message #31611,wtp install problems,Eclipse User,/donate,0
10265,message #31616,building CVS version of lancaster,Eclipse User,/donate,0
10266,message #31617,Setting Global Selection,Eclipse User,/donate,0
10267,message #31621,How can I use other projects?,Magnus Konze,index.php?t=usrinfo&id=41164&,41164
10268,message #31623,eclipse/cdt editor,Eclipse User,/donate,0
10269,message #31624,Use regular expression for selection,Marko Tomljenovic,index.php?t=usrinfo&id=37388&,37388
1027,message #2727,We Need This,Kevin Taylor,index.php?t=usrinfo&id=48333&,48333
10270,message #31625,Run/Debug Perspective Preference setting for plugin,Richard Deadman,index.php?t=usrinfo&id=2740&,2740
10271,message #31628,Cannot import device,riw Missing name,index.php?t=usrinfo&id=65896&,65896
10272,message #31631,[Announce] EMFT EODM 1.0.0M6a is available,Lei Zhang,index.php?t=usrinfo&id=24886&,24886
10273,message #31632,Finding org.eclipse.core.* items from DTP build.xml files,Eclipse User,/donate,0
10274,message #31639,M6 bundles problems,Eclipse User,/donate,0
10275,message #31646,Automatic updates - there are sooo many of them,Eclipse User,/donate,0
10276,message #31652,Aspect Eclipse Tool Development,Eclipse User,/donate,0
10277,message #31655,Eclipse on OSX for Intel ?,Eclipse User,/donate,0
10278,message #31656,M4 released,Eclipse User,/donate,0
10279,message #31657,Help needed for integrating BIRT viewer into Tomcat,Eclipse User,/donate,0
10280,message #31658,LPEX extensions,Eclipse User,/donate,0
10281,message #31659,ICompletionEngine: IAssistParser and ISourceModule,Charles Doucette,index.php?t=usrinfo&id=28564&,28564
10282,message #31660,CompositeTable and item groups...,Roland Tepp,index.php?t=usrinfo&id=13874&,13874
10283,message #31666,stand-alone,Eclipse User,/donate,0
10285,message #31669,Getting started: SQL Query Parser,Eclipse User,/donate,0
10286,message #31670,Announcement: DSDM Plugin for OpenUP/Basic approved,Eclipse User,/donate,0
10287,message #31673,'Invalid Project Description' when using RSE file system,No real name,index.php?t=usrinfo&id=59399&,59399
10288,message #31682,GUI Builder?,Eclipse User,/donate,0
10289,message #31684,Mylyn 2.1 is now available,Eclipse User,/donate,0
1029,message #2728,Problems regenerating the diagram code,Tobias Arnold,index.php?t=usrinfo&id=53710&,53710
10290,message #31689,Automatic GUI Recording - autogui.jar,Marshall Schor,index.php?t=usrinfo&id=7780&,7780
10291,message #31692,Birt On JBoss,Eclipse User,/donate,0
10292,message #31700,name conflicts,Eclipse User,/donate,0
10293,message #31705,XML Export,S.Saravanan,index.php?t=usrinfo&id=32332&,32332
10294,message #31709,Security,Philip Borlin,index.php?t=usrinfo&id=7387&,7387
10295,message #31710,Newb Troubles with Connecting to Server,Dirk,index.php?t=usrinfo&id=59257&,59257
10296,message #31712,Sharing a common schema instance across many schemas,Eclipse User,/donate,0
10297,message #31720,How to use AST/JDT and avoid ClassLoader?,David Bailey,index.php?t=usrinfo&id=1112&,1112
10298,message #31723,How is Lancaster doing?,Martin Kersten,index.php?t=usrinfo&id=4174&,4174
10299,message #31725,Developing a plugin for importing j2ee projects into workspace,Eclipse User,/donate,0
103,message #265,Embedded Track at EclipseCon 2006!,Doug Gaff,index.php?t=usrinfo&id=13750&,13750
1030,message #2729,Consider ECF,Erkki Lindpere,index.php?t=usrinfo&id=20394&,20394
