file_number,message_id,title,author,purpose
74851,message #233773,cross reference of include files,Robert Brusa,Q&A
92074,message #283798,Problem restoring editors,Eclipse User,Q&A
202806,message #648104,permGen Space,Aby,Q&A
261330,message #754099,JGit statistics,bugzilla,Q&A
369163,message #900672,How to resolve ambiguity with label syntax,Dobes Vandermeer,Q&A
42372,message #137671,Eclipse Java Types ...,Jean Couillaud,Q&A
1066567,message #1695418,[Solved]Java code does not compile without cleaning,niilos niilos,Q&A
278494,message #782354,errors while exporting to Repository,Mauro Condarelli,Q&A
104656,message #319710,display online help,Eclipse User,Q&A
69220,message #216918,looking for info on threading in CDT,Marko Klopcic,Q&A
64500,message #203047,Remove comments from a jdt CompilationUnit,Eclipse User,Q&A
1071336,message #1711748,Viewing non-moderated topics,Lazaro Villalba,Q&A
116813,message #355704,How to say birt don't count pages,Eclipse User,Q&A
196399,message #625958,AddStructuralFeatureValue constraint,Krzysztof Kaczmarski,Q&A
53836,message #171528,Supplied Connection,Eclipse User,Q&A
453300,message #1009115,xslfo has ? in place of bullets,Pitchumani Sivanupandi,Q&A
112990,message #344685,Disable logging,Raheel Ashraf,Q&A
191441,message #607411,UML 2.1 and Dali demo,Vlad Varnica,Announcement
75040,message #234317,Re: `/etc/startup.mk' not found,Eclipse User,Misuse
1079595,message #1738901,Arduino plugin don't find queue.h on using ESP8266WiFi.h,Klaus Zibell,Information
121318,message #370333,Mac OS X and Java 1.3.1,Eclipse User,Q&A
12554,message #39271,Javadoc for Nebula project,Eclipse User,Q&A
60375,message #190738,PropertyDescriptors in Shapes Example,Eclipse User,Q&A
74142,message #231761,Create tag transform operation in jsf tools,Ronaldo,Q&A
176596,message #562024,Why does XWT use SWT?,Jeeeyul Lee,General discussion
13530,message #42772,DB explorer and Date output view,Eclipse User,Q&A
800503,message #1409480,Retaining view across perspective,Mahesh Maney,Misuse
106526,message #325680,Add a cascade menu to a contex menu item,Oelerink,Q&A
359953,message #883313,Get Logged in user,Rick Missing name,Q&A
100607,message #307600,[Dynamic Help Content] Problems with using XHTML in RCP,No real name,Q&A
399824,message #941023,TerminatingClassNotFoundException when loading org.eclipse.core.runtime.Platform,david borsodi,Q&A
1070645,message #1709400,How can i specify the DEBUG build via Command line,Rahul Duggal,Q&A
455715,message #1012478,NatTable getColumnIndexByPosition returns -1 before,Alex Kipling,Q&A
262799,message #759149,WindowBuilder from source code,niala.ce,Q&A
3434,message #10167,Searchable archive of eclipse.technology.gmf ?,Eclipse User,General discussion
197812,message #630729,"RCP Product Export, host plug-in not found error",Ryan,Q&A
85582,message #265663,Bullet points in dialog?,Rob,Q&A
59187,message #187263,Eclipse under Suse 9.0,Eclipse User,Q&A
1092924,message #1785868,Prepare Target Runtime for e4 e(fx)clipse Problem,Christian Eugster,Q&A
126603,message #389019,"""org.eclipse cannot be resolved""",Ian Ward,Q&A
49540,message #158963,Need help!,Eclipse User,Q&A
179392,message #569511,"Question ""What are Branches and how are they used in OSEE?""",Donald Dunne,Information
34343,message #111352,how gmf saves the output,lokesh,Q&A
129504,message #400202,using extendedMetaData for custom serialization,Eclipse User,Q&A
98703,message #302367,dynamically add menu to a plugin,Eclipse User,Q&A
9923,message #30470,Websphere does not start up with piAgent,Eclipse User,Q&A
193467,message #615035,Changing of cards by clicking on buttons,Eclipse User,Q&A
121803,message #371842,native eclipse ?,Eclipse User,Q&A
203325,message #649876,Approach for splitting Buckminster jobs in Hudson,Axel Guckelsberger,Q&A
1080162,message #1740643,How to add xtext sdk with eclipse plugin?,Sachin Samaram,Q&A
92495,message #284869,HELP: java.lang.IllegalStateException: Workspace is closed.,Eclipse User,Q&A
500878,message #1081671,PropertyTemplates with OCL,Simon Schwichtenberg,Q&A
72864,message #227757,java.lang.UnsupportedClassVersionError: junit/textui/TestRunner (Unsupported major.minor version 49.,Eclipse User,Q&A
631424,message #1224516,lost my .java class file import popup help,Ralph Freshour,Q&A
30827,message #100019,Wierd error when launching primary feature,Greg Roberts,Q&A
830213,message #1444058,Exception in oslcClient.lookupServiceProviderUrl,Jan-Patrick Osterloh,Q&A
120757,message #368466,Export Report,R. S. Patil,Q&A
40331,message #131056,serverProfilers extension point always execute TPTP delegate class,Eclipse User,Q&A
469805,message #1033703,Images as chart axis labels,John 555,Q&A
291,message #763,M3 available for testing,Eclipse User,Announcement
54323,message #172969,Lauch Failed no binaries,Eclipse User,Q&A
236716,message #718757,Exception Description: Operation not supported: [instantiateForUnitOfWorkValueHolder],sebastian.schneider,Q&A
192211,message #610433,Property check,Eclipse User,Q&A
633663,message #1226978,How does birt use the datasource in applicationContext.xml?,Beryl Yellow,Q&A
94683,message #290863,Wizard,Eclipse User,Q&A
838836,message #1453711,How to call dialogs and wizard declared in e4xmi-file ?,Thomas Elskens,Q&A
82480,message #256142,Java editor in dialog window,Steve Farrell,Q&A
120621,message #367934,Using parameters from multiple data sets in a single table?,Eclipse User,Q&A
1093331,message #1787194,EMF Forms custom file extension/file type,Ben Gencarelle,Q&A
5542,message #16653,plase vote for aptana integration [183586],exceptione,General discussion
2328,message #6771,Re: Control.setParent() under Windows,Thomas Schindl,Q&A
195761,message #623825,Standalone help - how to find the .toc files,Juergen Weber,Q&A
82271,message #255481,Generating Resolved AST without a Project,Eclipse User,Q&A
203630,message #651011,Change syntax coloring for special methods,Markus Bischof,Q&A
49130,message #157797,[CVS] changing branch without replacing?,Eclipse User,Q&A
78354,message #243550,"In 3.3, how do we Enable HTTP proxy connection?",Eclipse User,Q&A
27801,message #90317,Questions about 2.0 (and future deliverables),Eclipse User,Q&A
45415,message #146968,Spell check,Eclipse User,Q&A
83351,message #258789,Splitting console output,Paul A. Rubin,Q&A
1066599,message #1695514,IsInstance function failed,Ramon Barakat,Q&A
36039,message #117006,agent library failed to init: JPIBootLoader,Eclipse User,Q&A
249645,message #740519,OutOfMemory on Resource.save(),Esteban Dugueperoux,Q&A
11115,message #34508,Run/Debug Configuration,Sheela,Q&A
116822,message #355729,Query -> Available Items; DB2 JDBC,Eclipse User,Q&A
925001,message #1544159,".ecore, XMLResource IDs and Xtext Builder",Andreas Graf,General discussion
115529,message #352003,crosstab refresh data cube,Eclipse User,Q&A
304023,message #813723,Accessing the Problems View,Roy Wood,Q&A
109176,message #333606,"""Build before launch"" ant task switch",coma,Q&A
487870,message #1059969,text align vertical,roger said,Q&A
104979,message #320709,[DataBinding] Preventing model changes that are not actually different,Eclipse User,Q&A
208536,message #668045,How to extract all attribute names from my ecore metamodel,Carlos,Misuse
43070,message #140016,"""Conflicting names"" in the Problems tab?",Keath Milligan,Q&A
86189,message #267492,RCP add View to editorArea,Eclipse User,Q&A
176234,message #561122,One Framework to bind them All ?!,Werner Keil,Q&A
438577,message #983830,passing a parameter or a value of a variable to another activity every 10seconds?,WESIANG LIM,Q&A
126572,message #388878,Strange issue with lists,Chris Aniszczyk,Q&A
97728,message #299709,free vi plugin?,Eclipse User,Q&A
194075,message #617265,Need Helps to save VE,Yves YANG,Announcement
24338,message #78837,How to detect save file action and eclipse exit action?,Eclipse User,Q&A
406673,message #948729,[expressions] toolbar dynamic contribution and visibleWhen expression,Stephane Bouchet,Q&A
1070383,message #1708563,Multiple workspace with same product,Arnaud MERGEY,Q&A
239619,message #724307,starting eclips,Missing name Mising name,Q&A
63981,message #201549,Disable project,Eclipse User,Q&A
188645,message #598420,Plugin conversion (2.1 - 3.0),Eclipse User,Q&A
203850,message #651773,"cdo builds on twitter (@cdobuilds), not anymore?",Tom Brus,Misuse
99958,message #305839,keybinding help,Eclipse User,Q&A
1076787,message #1730143,Now that we have Linux convergence with BQ Aquaris M10...,Halo Scott,Q&A
29759,message #96565,environment variables,Eclipse User,Q&A
192402,message #611138,Infocenter web app: configuring logging in JBoss 4.2.1,Peter Desjardins,Q&A
1079214,message #1737706,Annoying exceptions during XText build,Wolfgang Zeller,Q&A
66230,message #208095,help with open pics to jbutton in jar,Eclipse User,Q&A
54133,message #172422,Position of child nodes in a compartment,Matias,Q&A
42777,message #139114,[MWE]problems using mwe.utils.Reader with UML2 + profiles,ekkehard gentz,Q&A
365222,message #890170,Toogle Button NO_FOCUS,David Casas,Q&A
126594,message #388971,Right clicking on a table,Martin Klinke,Q&A
117804,message #358554,Putting labels as title in dimensions' crosstabs,Hans,Q&A
32286,message #104724,[make]err: arg list too long,Eclipse User,Q&A
9332,message #28681,Using the classes in org.eclipse.cme,Eclipse User,Q&A
203086,message #649017,Issues with Synchronize view,Eike Stepper,Q&A
32140,message #104261,Model questions,hanys,Q&A
52657,message #168146,Using PropertySheetPage in Dialogs - is it possible?,Eclipse User,Q&A
235328,message #716151,generate .projekt an .cprojekt file via shell,Robert,Q&A
181210,message #574904,[Announce] EMFT JET is available,Paul Elder,Announcement
12079,message #37635,Pair programming like hydra,Prashant Rane,Q&A
489773,message #1066263,Opened EntityManager,Zlatko Josic,Q&A
103959,message #317471,Breakpoints still exist when line deleted...,Glenn Dollard,Q&A
535574,message #1121312,How to use databinding between widget and List nested in model object,Alin Catalin,Q&A
207323,message #663818,Continous Integration,Matt Fellows,Q&A
525461,message #1109926,Cannot resolve interfaces from superclass in non eclipse project,Tomas Mika,Q&A
105590,message #322683,[DataBinding] Strange Behavior when binding to a combo,Ali Naddaf,Q&A
185964,message #590055,Information to write a Mylyn bridge.,Eclipse User,Q&A
88251,message #273608,ATG Dynamo 5.6.1 debug in Eclipse 3.0?,Eclipse User,Q&A
27696,message #89968,register binary resources via IResource,Eclipse User,Q&A
1084602,message #1754871,Guidance on how to utilize bug fix 401015,Andrew Letz,Q&A
560655,message #1148316,[Photran] Preprocessor Symbols,Rocky Dunlap,Q&A
194731,message #619966,Creating feature-based EMF product,Eclipse User,Q&A
5743,message #17180,Partially solved the problem to show variables in the properties sheet.,David,Q&A
94256,message #289656,Query -> Available Items; DB2 JDBC,Eclipse User,Q&A
105797,message #323270,How to get view id under cursor location?,Tarun Ramakrishna Elankath,Q&A
1075734,message #1726915,Error setting breakpoint: type root could not be computed,Ignacio Arango,Q&A
56661,message #179940,cygpath errors,Eclipse User,Q&A
208423,message #667673,methods in IDocument stop the program,sto,Q&A
61832,message #195041,Design of CVS plugin,mike,Q&A
128549,message #396500,SWT for Python?,Andreas Schmidt,General discussion
86371,message #268065,PDT and JQuery,Craig Stevens,Q&A
209612,message #672185,"execute DML in events, execution order of DataSets",Henning von Bargen,Q&A
52638,message #168086,How to change font in 'Package Explorer',Eclipse User,Q&A
62386,message #196816,Why Eclispe3.0 can not install new feature automaticlly?,Eclipse User,Q&A
80119,message #249063,"Attempt to run Derby UI and get ""could not find main class""!!",Irene,Q&A
30224,message #97991,Open file outside workspace,Eclipse User,Q&A
358548,message #881261,Spring Configurable across multitple bundles,Carlos Salinas,Q&A
47195,message #152162,eclipse RCP application + BIRT 2.0.1 :Viewert,Eclipse User,Q&A
92223,message #284200,Adding an encrypted password to a custom ODA implementation.,Eclipse User,Q&A
23435,message #75550,java.lang.InstantiationException,Eclipse User,Q&A
63587,message #200356,Error: Invalid expression to retrieve value in presentation,Bidyut Pattanayak,Q&A
457695,message #1015734,Problem Exporting RCP Project for Java Webstart,Jeremiah Moser,Q&A
383562,message #922230,Calling getObject On A Populated Part Returns null,Rob Hatcherson,Q&A
186131,message #590567,Eclipse Modeling Days,Ed Merks,Announcement
186548,message #591818,Where I can find documenation to extend AJDT?,Lefty A. Rivera-Correa,Q&A
57639,message #182816,Commit Filesystem-Linked File,Eclipse User,Q&A
1091889,message #1782395,Setup an environment to debug and compile the Eclipse platform,Per Wallberg,Q&A
47261,message #152334,Programmatically create nodes and links,Eclipse User,Q&A
21067,message #67553,"how to get library source files Eclipse does not see, e.g. Timer",Eclipse User,Q&A
273347,message #774866,Dynamically Modifying a Report from the BIRT PDF Viewer,JB .,Q&A
94159,message #289377,Table styles help needed,Raheel Ashraf,Q&A
94179,message #289447,Can't View SDK JavaDoc in Eclipse 3.1,Bud Curtis,Q&A
32856,message #106599,Why is it so difficult to work with Eclipse?,Eclipse User,Q&A
640815,message #1235852,Where does the data binding in Properties-View happen?,Emre T,Q&A
16404,message #52482,[ANN] JavaDude Jindent Eclipse Integration available,Scott Stanchfield,Announcement
122542,message #374037,[stp-newsgroup] Phil Coulthard/Toronto/IBM is out of the office,Phil Coulthard,Information
80882,message #251359,BIRT: System.out.println,Eclipse User,General discussion
25579,message #82810,struts-config.xml not being updated in a web app,Eclipse User,Q&A
29247,message #94914,using j2me componenets,teknokrat,Q&A
77636,message #241630,HTTP Status 500 (ViewerServlet),Ali Naddaf,Q&A
356598,message #878481,get IHandlerService from background thread,Andreas Hollmann,Q&A
71439,message #223254,Conditional definition/declaration detection,Dmitry Smirnov,Q&A
71836,message #224495,org.eclipse.ui.cheatsheets.sample,lilith,Q&A
14009,message #44371,which api is usefull for retriving the the project details from with the plugin?,Eclipse User,Q&A
202144,message #645948,[Helios] Dynamic item in pulldown button,FB Mising name,Q&A
100911,message #308461,IDE.openEditor with an external filereferens,Eclipse User,Q&A
181682,message #576369,Re: [e4] How to get ready ?,Thomas Schindl,Misuse
653718,message #1250477,Unique names of derived features?,Emre T,Q&A
109367,message #334201,Inoperational shortcuts,Michael Piefel,Q&A
1096729,message #1800201,Is Sirius supports only for EObjects.,Sharmila D,Q&A
3991,message #11877,BPEL Designer source code outside CVS,Youssouf,Q&A
61408,message #193845,"[RCP] setShowMenuBar(false), but menu yet shown",Eclipse User,Q&A
113002,message #344714,Wrong results in crosstab,Hans,Q&A
1068379,message #1701478,How to approach a scope problem,Anakreontas Mentis,Q&A
1065339,message #1691030,change Context for @Inject,Ralf Heydenreich,Q&A
128938,message #397982,Listening for object creation?,David Holz,Q&A
195955,message #624464,ecore model to uml model,Eclipse User,Q&A
964621,message #1585222,Eclipse mqtt jar throws SecurityExceptionInvalid signature file digest for Manifest main attributes,nandini nelson,Misuse
492498,message #1071067,Get CharSequence from JvmOperation object,Priya Sabut,Q&A
60532,message #191215,Macro usage error,Eclipse User,Q&A
29633,message #96215,copy paste big problem,Eclipse User,Q&A
322041,message #835534,problem with Unordered Groups,kisito Missing name,Q&A
71479,message #223360,Wrap the text of a Label,Eclipse User,Q&A
19248,message #61818,Rename refactoring,Eclipse User,Q&A
474692,message #1039632,problem with toolchains,tupac nymar,Misuse
96398,message #295810,How to remove page tab in FormEditor,Joerg Baeuerle,Q&A
452736,message #1007789,"""Invoke Maven 3"" build step missing",Joost Joost,Q&A
75917,message #236919,root of plugin,Moritz Post,Q&A
5345,message #16126,user test,Obelix95,Test
124027,message #379311,RCP/Forms/EMF Library Editor Example Available,Steve Blass,Announcement
796570,message #1404802,How to print the same dynamic image on every page.,Galina Tyles,Q&A
1086298,message #1763699,Create diagram editor,Lainis 20,Q&A
82285,message #255534,Perspectives for downloaded plug-ins don't show up,Doug Abbott,Q&A
279526,message #783815,[QVTo] Project status and plan,Robert Kiss,Q&A
647461,message #1243634,Web Workers in RAP,Yury Mising name,General discussion
180093,message #571469,Voice Tools Project is LIVE,Jeff Kobal,Information
114240,message #348290,"java.lang.NullPointerException, at org.eclipse.birt.chart.factory.Generator.getRowExpressions",Eclipse User,Q&A
5643,message #16926,"Adding ""underline"" and ""strikethrough"" in appereance",Tanyu Trifonov,Q&A
369133,message #900563,problem with SWTResourceManager import,Constantinos Delistavrou,Q&A
1074281,message #1721691,About including xtend-gen in .git-ignore,pranay roy,Q&A
796236,message #1403723,[SOLVED] Using P2 garbage collector,Alexandros Karypidis,Q&A
457460,message #1014836,More on EclipseSpy,Herb Miller,Q&A
1070776,message #1709863,Derive Java Classes from Java Source File,Christian Dietrich,Q&A
46114,message #148958,Two layout realted questions,Simon Moser,Q&A
367204,message #894597,"Made a Project, then deleted it, now I get build errors in another project",paul altefogt,Q&A
630062,message #1223088,Annotations and white spaces,Plamen Petkov,Q&A
606465,message #1196696,[EMFTVM] null pointer exception when executing transformation,EtienneB Mising name,Q&A
24372,message #78925,Is there any way to create a CSV format reports in BIRT?,Eclipse User,Q&A
122094,message #372724,TableTreeViewer and images,Eclipse User,Q&A
60372,message #190730,drag&drop problem,Sven Wende,Q&A
109474,message #334528,Context Menu Toggle Command,Damian Philipp,Q&A
178472,message #566937,Unable to use night build,Eclipse User,Q&A
113799,message #347016,Disable logging,Raheel Ashraf,Q&A
3836,message #11408,Equinox Server-side incubator,Eclipse User,Information
96584,message #296330,import not available,Eclipse User,Q&A
195673,message #623550,Disappearing Association,John Colgrave,Q&A
128876,message #397753,about omondo eclipseuml,Eclipse User,Q&A
85454,message #265248,Cannot see Heap Usage graph when running profiler,Eclipse User,Q&A
1088584,message #1771840,XMI to UML,Marija Matic,Misuse
489293,message #1064580,How to connect two different Feature's Activators,Jyostna Chakravarthy,Q&A
8869,message #27308,Ignored Resources ignored?,Adam Lucarz,Q&A
359696,message #882972,How does sql prepare statement really work?,Gianluca Donati,Q&A
177322,message #563910,column visibility,remi,Q&A
53832,message #171513,Progress Monitor + User Input,Eclipse User,Q&A
108589,message #331885,new debugger implementation - changing default names,John Rodriguez,Q&A
63710,message #200777,Does Eclipse supports Apache axis2 ?,Eclipse User,Q&A
124768,message #381844,branding problem,Tal Abir,Q&A
88567,message #274424,grouping of elements in PropertyView,Andreas Herz,Q&A
431818,message #976442,Websphere desn't like BIRT...,Joe Kennedy,Q&A
88770,message #274946,Properties Page Question?,Eclipse User,Q&A
99706,message #305124,"Does BIRT 2.2 support ""named"" parameters of data sets?",Maged Elaasar,Q&A
63679,message #200706,Console colors and logging format,Bill Ewing,Q&A
123818,message #378502,[TCS] Keywords,Eclipse User,Q&A
29593,message #96105,VE + Eclipse: Which versions fit together?,Hauke Fuhrmann,Q&A
62611,message #197495,Default value for input parameter cannot be null.,Eclipse User,Q&A
637668,message #1231930,create Proxy objects,Max Meyer,Q&A
25551,message #82728,How to import the standalone version of SWT?,Eclipse User,Q&A
318509,message #831351,Function 'printf' could not be resolved,Andy Wong,Q&A
1082060,message #1746119,Programmatically create a diagram of custom diagram kind,Patrik Nandorf,Q&A
1091878,message #1782356,Regex Restrictions on Eclipse Schema file (.exsd),Sudheendra desai,Q&A
49270,message #158167,"Error: ""Total"" is not defined",Tomas Vala,Q&A
636104,message #1230036,New Ecore Tools,Ed Willink,Q&A
262220,message #757138,How to have the context menu in the History View ?,Jerome Correnoz,Q&A
358486,message #881180,Launch Failed. Binary Not Found. But found after refresh,Karthikeyan Missing name,Q&A
107434,message #328496,Plugins dowloader and manager,Eclipse User,Q&A
