,file_number,message_id,topic,author,link,domain,top_level_domain
47,4078,message #12118,RFE: Local terminal,Martin Oberhuber,https://bugs.eclipse.org/bugs/show_bug.cgi?id=170910,bugs.eclipse.org,org
48,40965,message #133117,How to display call stack for exceptions thrown from event loop?,Eric Estievenart,http://www.opera.com/m2/,www.opera.com,com
49,41379,message #134449,Do we need a WTP 0.7.1 Maintenance Release?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=96917,bugs.eclipse.org,org
50,42128,message #136961,How can I query current installed plugin?,Eclipse User,http://www.bodden.de,www.bodden.de,de
51,42331,message #137545,Joining Lines editor key,Dani Megert,https://bugs.eclipse.org/bugs/show_bug.cgi?id=41573,bugs.eclipse.org,org
52,42389,message #137733,Way to draw gradient on custom figure - possible patch for gmf/draw2d,Cherie Revells,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132361,bugs.eclipse.org,org
53,42665,message #138687,unable to deal with remote WebLogic 8.1 server,Rob Frost,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102308,bugs.eclipse.org,org
54,43348,message #140892,"on WindXP, profiler hangs at ""Connecting to JVMTI agent""",No real name,http://dev.eclipse.org/newslists/news.eclipse.tptp/msg06835.html,dev.eclipse.org,org
55,43682,message #141915,Why native code for agents?,Jonathan West,http://jcp.org/en/jsr/detail?id=163,jcp.org,org
56,5039,message #15188,List of high level requirements for ORMF,Barbara Rosi-Schwartz,http://www.etish.org,www.etish.org,org
57,5164,message #15553,m2eclipse 0.9.6 is released,Eugene Kuleshov,http://download.eclipse.org/webtools/updates,download.eclipse.org,org
58,7334,message #22392,[FYI] More Tests with Schemas defined in WSDL,Eclipse User,http://www.w3.org/2003/01/wsdl/http,www.w3.org,org
59,7800,message #23832,Request: Allow Commonwealth English locales/ResourceBundles to inherit from en_GB,Sean Flanigan,http://kickjava.com/src/org/eclipse/osgi/util/NLS.java.htm#222,kickjava.com,com
60,8324,message #25547,Eclipse RCP / 3D graphics developer,Terry Fong,http://haughton2007.arc.nasa.gov,haughton2007.arc.nasa.gov,gov
61,8458,message #26007,Using IMP for LPG in non-IMP target,Robert M. Fuhrer,http://x10.sf.net,x10.sf.net,net
62,8644,message #26583,update site link broken,Jörg Thönnes,http://www.eclipse.org/mylyn/builds/,www.eclipse.org,org
63,9865,message #30248,TM 3.0.2 is released,Martin Oberhuber,http://download.eclipse.org/dsdp/tm/downloads/drops/R-3.0.2-200812050230/,download.eclipse.org,org
64,46065,message #148821,M9 - no perspective,Eclipse User,http://weconsultants.servebeer.com/JHackerAppManager,weconsultants.servebeer.com,servebeer.com
65,47372,message #152655,birt help.eclipse.org links are broken,Sheldon Lee-Loy,http://help.eclipse.org/help31/topic/org.eclipse.birt.doc/chartui/api/index.html,help.eclipse.org,org
66,47521,message #153121,ChartWizard exception after creation,David Michonneau,https://bugs.eclipse.org/bugs/show_bug.cgi?id=128208,bugs.eclipse.org,org
67,48491,message #155932,WTP1.0 Not Publishing /Bad publish.xml,chily,http://download.eclipse.org/webtools/committers/,download.eclipse.org,org
68,49358,message #158400,JBoss 4 serverdef in 1.0.1 !,Eclipse User,http://www.informatik.fh-wiesbaden.de/~knauf/public,www.informatik.fh-wiesbaden.de,de
69,49437,message #158616,How can I bind scripted data source/set with charts?,Ã?nder Ã?lker,http://www.eclipse.org/newsportal/article.php?id=9222&group=eclipse.birt#9222,www.eclipse.org,org
70,50284,message #161212,Eclipse WTP User Experience Study,David Williams,http://www.cs.ubc.ca/~lkf/antoine/study,www.cs.ubc.ca,ca
71,51000,message #163252,"wtp 1.5m5, j2ee perspective, project explorer view",Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=128652,bugs.eclipse.org,org
72,51346,message #164268,Regarding debugging in Eclipse,Darin Swanson,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.jdt.doc.user/concepts/cremdbug.htm,help.eclipse.org,org
73,53071,message #169365,Download,Asaf Yaffe,http://wiki.eclipse.org/index.php/The_Official_Eclipse_FAQs,wiki.eclipse.org,org
74,55150,message #175313,Problems launching JSP in Eclipse 3.2,Nitin Dahyabhai,https://bugs.eclipse.org/bugs/show_bug.cgi?id=149425,bugs.eclipse.org,org
75,56348,message #179025,Does anyone know of a Java editor plugin with hungry delete functionality?,Andrey Loskutov,http://andrei.gmxhome.de/anyedit/index.html,andrei.gmxhome.de,de
76,59068,message #186854,Fix CDT 4.x for Build Project Before Running External Tool,Eclipse User,http://enigmail.mozdev.org,enigmail.mozdev.org,org
77,59579,message #188370,"FAQ: ""It's in the <ABC> FAQ""",Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/jdt-ui-home/plugins/org.eclipse.jdt.junit/index.html,dev.eclipse.org,org
78,60224,message #190278,CDT Navigation doesn't work at all for OpenCV,Eclipse User,http://opencv.org,opencv.org,org
79,60883,message #192222,custom figures,Amro Al-Akkad,http://www.scribd.com/doc/3321556/in,www.scribd.com,com
80,61235,message #193262,Canvas mapping,Jevon ,http://www.jevon.org/wiki/GMF_Diagram_Partitioning,www.jevon.org,org
81,63032,message #198746,License management in Eclipse,Michael Doorley,http://www.websina.com/products/index.html,www.websina.com,com
82,64600,message #203355,Re: source code for org.eclipse.wst.wsdl.validation,Lawrence Mandel,http://dev.eclipse.org/viewcvs/index.cgi/wst/components/wsdl/plugins/org.eclipse.wst.wsdl.validation/src/org/eclipse/wst/wsdl/validation/internal/ui/?root=WebTools_Project,dev.eclipse.org,org
83,64755,message #203923,Problem to view the report,Jag Missing name,http://www.eclipse.org/birt/phoenix/deploy/viewerSetup.php,www.eclipse.org,org
84,65542,message #206077,Still no 64bit dowload version,Eclipse User,http://www.eclipse.org/downloads/,www.eclipse.org,org
85,66654,message #209295,Toggle Comment In Ant Editor,GÃ¶rge Albrecht,https://bugs.eclipse.org/bugs/show_bug.cgi?id=104114,bugs.eclipse.org,org
86,66900,message #210058,How to get Eclipse 3.3.1.1 + CDT 4.0.2 + Cygwin working ?,Chris Recoskie,http://www.eclipse.org/cdt,www.eclipse.org,org
87,67606,message #212146,GEF Logic sample reality check...,Steven R. Shaw,http://www-128.ibm.com/developerworks/opensource/library/os-gef/,www-128.ibm.com,com
88,69708,message #218357,3.4 Stream Nightly Build N20070627-0010??,Eclipse User,http://www.catb.org/~esr/faqs/smart-questions.html,www.catb.org,org
89,70500,message #220582,How to install Flex plugin?,Bandy Abaza,http://www.adobe.com/support/documentation/en/flex/2/install.html#fbplugin,www.adobe.com,com
90,71170,message #222522,how to understand the non-standard tags in html,Eclipse User,http://www.w3.org/TR/REC-html40/cover.html#minitoc,www.w3.org,org
91,71690,message #224050,why is org.eclipse.tomcat removed?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=138390,bugs.eclipse.org,org
92,76328,message #238056,Key event handling in Multipage Editors - how?,Eclipse User,http://www.hackerdude.com,www.hackerdude.com,com
93,76995,message #239906,I want to develop a eclipse plugin for CVS,Michael Valenta,https://bugs.eclipse.org/bugs/show_bug.cgi?id=12980,bugs.eclipse.org,org
94,81006,message #251708,Jikes compiler,Jerome Lanneluc,http://java.sun.com/docs/books/vmspec/2nd-edition/html/ClassFile.doc.html#9279,java.sun.com,com
95,81502,message #253154,code/assist Java code - jdt,Eclipse User,http://www.eclipseplugincentral.com/Web_Links-index-req-viewlink-cid-582.html,www.eclipseplugincentral.com,com
96,82450,message #256040,How to Apply patch in Eclipse,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=160220,bugs.eclipse.org,org
97,83797,message #260205,Dynamic Images,Eclipse User,http://www.eclipse.org/birt/2005/design,www.eclipse.org,org
98,84617,message #262788,standalone SWT versus RCP,Eclipse User,http://www.s390.ibm.com/sa,www.s390.ibm.com,com
99,85482,message #265342,generics gives dereferenced error when compiled outside IDE,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=158531,bugs.eclipse.org,org
100,85933,message #266690,Too many files open,Eclipse User,http://wiki.eclipse.org/User:Nickb,wiki.eclipse.org,org
101,86549,message #268632,Import ecore resource,Ed Merks,http://help.eclipse.org/ganymede/index.jsp?topic=/org.eclipse.emf.doc/tutorials/clibmod/clibmod.html,help.eclipse.org,org
102,100353,message #306864,updates,Paul Webster,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.user/tasks/tasks-37.htm,help.eclipse.org,org
103,104525,message #319308,Action enablement and ResourceMapping,Paul Webster,http://wiki.eclipse.org/Menus_Extension_Mapping,wiki.eclipse.org,org
104,105094,message #321118,Can a Control locate its containing IEditorPart?,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
105,105180,message #321392,"Command, Handler, and IElementUpdater issue with org.eclipse.ui.menus in Eclipse 3.3",David Kyle,http://dev.eclipse.org/newslists/news.eclipse.platform/msg67021.html,dev.eclipse.org,org
106,105431,message #322192,IClassPathEntry,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=84327,bugs.eclipse.org,org
107,105947,message #323743,viewShortcut and Key Bindings,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
108,106142,message #324413,Plugins Versions,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
109,106268,message #324872,"How to reuse ""MarkerView""",Paul Webster,http://help.eclipse.org/help33/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/workbench.htm,help.eclipse.org,org
110,106464,message #325510,Eclipse 3.3.1 does not generate java1.5 class files,Prakash G.R.,http://www.cypal.in/eclipsesearch,www.cypal.in,in
111,106824,message #326549,org.eclipse.ui.ide and RCP,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
112,106906,message #326844,Dialogs in org.eclipse.ui.workbench JAR,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
113,107598,message #328989,"custom markers never appear in ""Problems"" view",Paul E. Keyser,http://help.eclipse.org/help33/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/resAdv_markers.htm,help.eclipse.org,org
114,107900,message #329858,Sorting contributed commands in a Menu,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
115,108641,message #332028,enable command handler on startup,Paul Webster,http://help.eclipse.org/ganymede/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/workbench.htm,help.eclipse.org,org
116,109044,message #333199,question about logging and best practices,Eclipse User,http://ekkes-corner.org,ekkes-corner.org,org
117,109073,message #333289,Java SWTBuilder : declarative interfaces for SWT/JFace,Jacek Furmankiewicz,http://code.google.com/p/javabuilders/source/browse/trunk/org.javabuilders.swt/samples/org/javabuilders/swt/samples/WidgetComposite.yaml,code.google.com,com
118,110255,message #336845,Reacting on page changes in a multi-page editor from a separate view,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
119,110273,message #336890,Is it possible to intercept the loading of bundle resources?,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
120,117170,message #356732,Disable logging,Raheel Ashraf,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
121,118919,message #361880,[2.2.2] Change report item dataset at runtime,Eclipse User,http://www.eclipse.org/birt/report/model/adapter/odaModel,www.eclipse.org,org
122,119159,message #362794,parameter joint data set,John J Feigal,http://www.birt.eclipse.org/ChartModelLayout,www.birt.eclipse.org,org
123,119547,message #364090,sample of stacked bar chart with 3 categories,Eclipse User,http://www.birt.eclipse.org/ChartModelData,www.birt.eclipse.org,org
124,120966,message #369190,Loading Large SWT Tables,Eclipse User,http://bugs.eclipse.org/bugs/show_bug.cgi?id=36226,bugs.eclipse.org,org
125,121880,message #372055,PocketPC TOGGLE Button displays oddly,Christophe Cornu,https://bugs.eclipse.org/bugs/show_bug.cgi?id=40896,bugs.eclipse.org,org
126,122655,message #374353,STP Build 0.7.0.200711162004 Availability,Adrian Skehill,http://download.eclipse.org/stp/downloads/,download.eclipse.org,org
127,122979,message #375451,Issue in initializing DefaultPreferences,Grant Gayed,https://bugs.eclipse.org/bugs/show_bug.cgi?id=33828,bugs.eclipse.org,org
128,123191,message #376169,First plug-in.. with error. They help me!!,Eclipse User,http://www.eclipse.org,www.eclipse.org,org
129,123545,message #377515,Problem with tutorial,Geoff Gibbs,http://dev.eclipse.org/viewcvs/indextools.cgi/%7Echeckout%7E/emf-home/docs/xlibmod/library.xsd,dev.eclipse.org,org
130,125459,message #384433,[xtext] How to use the generated ecore file?,Lorenzo Bettini,http://tronprog.blogspot.com,tronprog.blogspot.com,blogspot.com
131,126471,message #388471,Materialized Target Platform is missing Plugins,Tas Frangoullides,http://www.eclipse.org/buckminster/PDEMapProvider-1.0,www.eclipse.org,org
132,126472,message #388482,Moving from ToplinkLink Essentials (SessionCustomizer problem),Pavel Zelenka,http://wiki.eclipse.org/EclipseLink/Examples/JPA/Tomcat_Web_Tutorial,wiki.eclipse.org,org
133,126827,message #389864,NoSuchMethodError on freeze() method,Alex Terzis,http://www.eclipse.org/emf/2004/Ecore2Ecore,www.eclipse.org,org
134,127102,message #390909,EMF & CDO,Eike Stepper,http://www.sympedia.org/cdo/docs/usage/configuration.html#Database,www.sympedia.org,org
135,128612,message #396756,xsd:choice support?,Enrique,http://www.eclipse.org/emf/2003/XMLType#//String,www.eclipse.org,org
136,129323,message #399429,annotation reference,Jim Wright,https://bugs.eclipse.org/bugs/show_bug.cgi?id=136376,bugs.eclipse.org,org
137,129350,message #399508,Reading/Writing using anAtom.xsd,Eclipse User,http://www.atomenabled.org/,www.atomenabled.org,org
138,129878,message #401653,Hiding the namespace,Ed Merks,http://www.eclipse.org/emf/docs/overviews/XMLSchemaToEcoreMapping.pdf,www.eclipse.org,org
139,130203,message #402954,xsd:ID xs:IDREF(S) and  Bidirectional Relations in ecore,Jan Lohre,http://www.omg.org/XMI,www.omg.org,org
140,130813,message #405413,NPE in XMLSaveImpl.saveElementFeatureMap(XMLSaveImpl.java:2272),Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=165202,bugs.eclipse.org,org
141,131680,message #408848,[Announce] Eclipse Modeling Framework Component Builds,Eclipse User,http://www.eclipse.org/modeling/emf/news/relnotes.php?project=transaction&version=M200707251637,www.eclipse.org,org
142,90130,message #278516,File association and extension containing a dot,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=22905,bugs.eclipse.org,org
143,90259,message #278914,C#,Eclipse User,http://www.improve-technologies.com/alpha/esharp/,www.improve-technologies.com,com
144,93348,message #287100,Can you programmatically add Tasks to the TaskList?,W W,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-ui-home/generic-marker-view/markers.html,dev.eclipse.org,org
145,93578,message #287780,multiple masterpages (page orientation),Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=215923,bugs.eclipse.org,org
146,95015,message #291788,Backported The Eclipse 3.2 Splash Screen Changes to Eclipse 3.1 ... Comments Please,Eclipse User,http://wiki.nightlabs.de/en/EclipseGoodies,wiki.nightlabs.de,de
147,96191,message #295255,Key bindings gets reset to default bindings,Hugo A. Garcia,http://dev.eclipse.org/,dev.eclipse.org,org
148,98841,message #302753,hide some text in text editor,Eclipse User,http://jacekp.siat.pl,jacekp.siat.pl,pl
149,99904,message #305695,Patch Files,Michael Valenta,https://bugs.eclipse.org/bugs/show_bug.cgi?id=131901,bugs.eclipse.org,org
150,99923,message #305753,multipage editor,Eclipse User,http://www.eclipse.org/emf/docs.php?doc=tutorials/xlibmod/xlibmod.html,www.eclipse.org,org
151,132335,message #411592,sharing ecore files,Jean-Claude Cote,http://com.manufacturer.honda,com.manufacturer.honda,honda
152,132689,message #412986,Forced to use EList?,Bob,http://wiki.eclipse.org/EMF/Recipes#Recipe:_Generating_Pure_API_With_No_V=,wiki.eclipse.org,org
153,133890,message #418185,Not able to set EType in EMF 2.4.0.v200803181800,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=225847,bugs.eclipse.org,org
154,134249,message #419765,[Announce] EMF Teneo Builds,Martin Taal,http://www.eclipse.org/modeling/emf/news/relnotes.php?project=teneo&version=M200910271935,www.eclipse.org,org
155,134565,message #421245,Using JNI in RCP application,Alex Fitzpatrick,http://nice3z.homeip.net/node/10,nice3z.homeip.net,homeip.net
156,134866,message #422705,XSD Schema + Multiple Root Elements + EMF Editor leads to invalid XML file,Stefan Esterer,http://nopaste.debianforum.de/11205,nopaste.debianforum.de,de
157,134922,message #422939,CDO-Hibernate setup problems,daniel kroeni,http://www.omg.org/XMI,www.omg.org,org
158,135711,message #426684,quick web gui for emf model,Jim Van Dam,http://www.eclipsecon.org/2008/index.php?page=sub/&id=119,www.eclipsecon.org,org
159,136248,message #429273,EMF - Teneo-EclipseLink - @OneToMany,Antonel Ernest Pazargic,http://jtonic.ro/library,jtonic.ro,ro
160,137734,message #434454,Problems closing and reopening DALI projects,Neil Hauge,https://bugs.eclipse.org/bugs/show_bug.cgi?id=192694,bugs.eclipse.org,org
161,137946,message #435088,Help need in JAX-WS Tools Project,Shane Clarke,http://www.eclipse.org/jdt/apt/introToAPT.html,www.eclipse.org,org
162,139218,message #438707,timer and jasper,udayms,http://www.eclipsezone.com/eclipse/forums/m91949405.html,www.eclipsezone.com,com
163,139988,message #441184,How the Eclipse Layout is build?,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/%7echeckout%7e/org.eclipse.ui.tutorials.rcp.part1/html/tutorial1.html,dev.eclipse.org,org
164,140371,message #442499,Where can I get the swt resource?,Grant Gayed,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-swt-home/dev.html,dev.eclipse.org,org
165,143896,message #453079,Table SWT and Selection,Emil Crumhorn,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.swt.snippets/src/org/eclipse/swt/snippets/Snippet124.java?rev=HEAD&amp;content-type=text/vnd.viewcvs-markup,dev.eclipse.org,org
166,143913,message #453122,"Using my RCP app as target for the Windows ""Open With"" functionality??",Markus Keller,https://bugs.eclipse.org/bugs/show_bug.cgi?id=4922,bugs.eclipse.org,org
167,145334,message #457468,ActiveX control with SWT?,Radu,http://java.sun.com/j2se/1.4.2/docs/guide/beans/axbridge/developerguide/index.html,java.sun.com,com
168,146445,message #460975,Getting i18n setting from database,Alex Blewitt,http://ant.apache.org/manual/CoreTasks/sql.html,ant.apache.org,org
169,148208,message #466257,Eclipse 3.3 features,Janek,http://www.eclipse.org/eclipse/platform-ua/proposals/forms/enhancements-3.3/index.html,www.eclipse.org,org
170,149366,message #469718,[Announce] EclipseCon 2007 Registration,Marcelo Paternostro,https://bugs.eclipse.org/bugs/show_bug.cgi?id=168237,bugs.eclipse.org,org
171,149578,message #470246,Can EMFText be used inside Papyrus?,Osmar Marchi dos Santos,http://st.inf.tu-dresden.de/reuseware/index.php/EMFText,st.inf.tu-dresden.de,de
172,149847,message #471028,Extending UML2 Tool,Tatiana Fesenko,http://wiki.eclipse.org/index.php/GMF_Tutorial_Part_2#Link_Constraints,wiki.eclipse.org,org
173,150063,message #471652,Read OMG XMI resources with profile applications but w/o Ecore extensions,Peter Ellsiepen,http://schema.omg.org/spec/UML/2.1.1,schema.omg.org,org
174,150858,message #474446,Create parameters,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=210246,bugs.eclipse.org,org
175,151019,message #475024,AbstractTagConverter#doConvertRefresh,Ian Trimble,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Java%20Server%20Faces,bugs.eclipse.org,org
176,151535,message #476782,how to generate EMF from UML.ecore,Kenn Hussey,http://www.eclipse.org/uml2/1.1.0/GenModel,www.eclipse.org,org
177,151906,message #478209,java.lang.NoClassDefFoundError: com/ibm/icu/text/NumberFormat,Lorenzo Bettini,http://www.myspace.com/supertrouperabba,www.myspace.com,com
178,151922,message #478256,Problems applying a particular stereotype:java.lang.NullPointerException at  EStructuralFeatureImpl.,Juan Pedro Silva,https://www.cs.tcd.ie/Eamonn.Linehan/lero/ThemeUML.profile.uml,www.cs.tcd.ie,ie
179,151983,message #478477,Strategy for loading commercial UML XMI 2.1 (MaicDraw),james bruck,http://syseng.nist.gov/se-interop/sysml/validator,syseng.nist.gov,gov
180,152543,message #480306,resolving cross-references to imported model in xpand/xtend,Edwin Park,http://esp1.freeshell.org/model_projects.zip,esp1.freeshell.org,org
181,153097,message #482152,Useless cast,Eclipse User,http://bugs.eclipse.org/bugs/show_bug.cgi?id=287676,bugs.eclipse.org,org
182,153573,message #483707,"Please help dynamic column binding to chart according to parameter, csv data sou",Jason Weathersby,http://www.birt.eclipse.org/ChartModelLayout,www.birt.eclipse.org,org
183,154001,message #485002,Updating non plugins using p2,Eclipse User,http://wiki.eclipse.org/Equinox_p2_Getting_Started_for_Releng,wiki.eclipse.org,org
